3.934,0.294,90,0.08
4.138,0.143,25,0.09
4.321,-0.028,30,0.09
4.491,-0.212,35,0.09
2.159,0.159,40,0.09
2.365,0.308,45,0.09
2.601,0.427,50,0.09
2.867,0.504,55,0.09
3.153,0.53,60,0.09
3.439,0.5,65,0.09
3.703,0.419,70,0.09
3.937,0.298,75,0.09
4.141,0.147,80,0.09
4.324,-0.024,85,0.09
4.494,-0.208,90,0.09
2.155,0.163,30,0.1
2.362,0.312,35,0.1
2.598,0.431,40,0.1
2.865,0.509,45,0.1
3.153,0.535,50,0.1
3.439,0.505,55,0.1
3.705,0.424,60,0.1
3.939,0.303,65,0.1
4.144,0.151,70,0.1
4.327,-0.02,75,0.1
4.498,-0.205,80,0.1
2.151,0.166,85,0.1
2.358,0.316,90,0.1
2.596,0.436,45,0.11
2.864,0.514,50,0.11
3.152,0.54,55,0.11
3.44,0.51,60,0.11
3.707,0.429,65,0.11
3.942,0.307,70,0.11
4.147,0.155,75,0.11
4.33,-0.016,80,0.11
4.501,-0.201,85,0.11
2.148,0.17,90,0.11
2.355,0.32,90,0.12
2.593,0.44,,
2.862,0.518,,
3.152,0.545,,
3.441,0.515,,
3.708,0.434,,
3.944,0.312,,
4.15,0.16,,
4.334,-0.013,,
4.505,-0.197,,
2.144,0.173,,
2.352,0.324,,
2.59,0.445,,
2.86,0.523,,
3.151,0.55,,
3.442,0.52,,
3.71,0.439,,
3.947,0.316,,
4.153,0.164,,
4.337,-0.009,,
4.509,-0.194,,
2.14,0.177,,
2.348,0.328,,
2.587,0.449,,
2.858,0.528,,
3.151,0.555,,
3.443,0.525,,
3.712,0.444,,
3.95,0.321,,
4.156,0.168,,
4.341,-0.005,,
4.512,-0.19,,
2.137,0.181,,
2.345,0.333,,
2.585,0.454,,
2.857,0.534,,
3.151,0.561,,
3.444,0.531,,
3.715,0.449,,
3.953,0.325,,
4.16,0.172,,
4.344,-0.001,,
4.516,-0.186,,
2.133,0.185,,
2.342,0.337,,
2.582,0.459,,
2.855,0.539,,
3.15,0.566,,
3.445,0.536,,
3.717,0.454,,
3.956,0.33,,
4.163,0.177,,
4.348,0.003,,
4.52,-0.182,,
2.129,0.189,,
2.338,0.342,,
2.579,0.464,,
2.854,0.544,,
3.15,0.572,,
3.446,0.541,,
3.719,0.459,,
3.959,0.335,,
4.167,0.181,,
4.352,0.007,,
4.525,-0.179,,
2.125,0.193,,
2.335,0.346,,
2.577,0.469,,
2.852,0.55,,
3.15,0.577,,
3.448,0.547,,
3.722,0.464,,
3.962,0.339,,
4.17,0.185,,
4.356,0.011,,
4.529,-0.175,,
1.935,0.024,,
2.121,0.197,,
2.332,0.351,,
2.574,0.474,,
2.85,0.555,,
3.15,0.583,,
3.449,0.552,,
3.724,0.469,,
3.965,0.344,,
4.174,0.19,,
4.36,0.015,,
4.533,-0.171,,
1.931,0.028,,
2.118,0.202,,
2.328,0.356,,
2.571,0.479,,
2.849,0.561,,
3.15,0.589,,
3.451,0.558,,
3.727,0.474,,
3.969,0.349,,
4.178,0.194,,
4.364,0.019,,
4.537,-0.167,,
1.927,0.032,,
2.114,0.206,,
2.325,0.361,,
2.569,0.485,,
2.847,0.566,,
3.15,0.594,,
3.452,0.564,,
3.73,0.48,,
3.972,0.354,,
4.182,0.198,,
4.368,0.023,,
4.542,-0.163,,
1.923,0.036,,
2.11,0.211,,
2.321,0.365,,
2.566,0.49,,
2.846,0.572,,
3.15,0.6,,
3.454,0.569,,
3.733,0.485,,
3.976,0.359,,
4.186,0.203,,
4.372,0.027,,
4.546,-0.16,,
1.919,0.04,,
2.106,0.215,,
2.318,0.37,,
2.563,0.496,,
2.845,0.578,,
3.151,0.606,,
3.456,0.575,,
3.736,0.49,,
3.979,0.363,,
4.19,0.207,,
4.377,0.031,,
4.551,-0.156,,
1.915,0.045,,
2.102,0.22,,
2.315,0.376,,
2.561,0.501,,
2.843,0.584,,
3.151,0.612,,
3.458,0.581,,
3.739,0.496,,
3.983,0.368,,
4.194,0.211,,
4.381,0.035,,
4.556,-0.152,,
1.91,0.049,,
2.098,0.225,,
2.311,0.381,,
2.558,0.507,,
2.842,0.59,,
3.151,0.618,,
3.46,0.587,,
3.742,0.501,,
3.987,0.373,,
4.198,0.216,,
4.386,0.04,,
4.56,-0.148,,
1.906,0.054,,
2.095,0.229,,
2.308,0.386,,
2.555,0.512,,
2.841,0.596,,
3.152,0.624,,
3.462,0.593,,
3.745,0.506,,
3.991,0.378,,
4.203,0.22,,
4.39,0.044,,
4.565,-0.144,,
1.902,0.058,,
2.091,0.234,,
2.304,0.391,,
2.553,0.518,,
2.839,0.602,,
3.152,0.63,,
3.464,0.598,,
3.749,0.512,,
3.995,0.383,,
4.207,0.225,,
4.395,0.048,,
4.57,-0.14,,
1.898,0.063,,
2.087,0.239,,
2.301,0.397,,
2.55,0.524,,
2.838,0.608,,
3.153,0.637,,
3.466,0.604,,
3.752,0.517,,
3.999,0.388,,
4.212,0.229,,
4.4,0.052,,
4.575,-0.137,,
1.894,0.067,,
2.083,0.244,,
2.297,0.402,,
2.548,0.53,,
2.837,0.614,,
3.153,0.643,,
3.469,0.61,,
3.756,0.523,,
4.004,0.393,,
4.216,0.233,,
4.405,0.056,,
4.58,-0.133,,
1.89,0.072,,
2.079,0.249,,
2.294,0.407,,
2.545,0.536,,
2.836,0.621,,
3.154,0.649,,
3.471,0.616,,
3.76,0.528,,
4.008,0.397,,
4.221,0.238,,
4.409,0.06,,
4.585,-0.129,,
1.885,0.077,,
2.075,0.254,,
2.291,0.413,,
2.542,0.542,,
2.835,0.627,,
3.155,0.656,,
3.474,0.622,,
3.763,0.534,,
4.012,0.402,,
4.226,0.242,,
4.414,0.064,,
4.59,-0.125,,
1.881,0.082,,
2.071,0.26,,
2.287,0.419,,
2.54,0.548,,
2.834,0.633,,
3.156,0.662,,
3.476,0.628,,
3.767,0.539,,
4.017,0.407,,
4.231,0.247,,
4.419,0.068,,
4.596,-0.121,,
1.877,0.087,,
2.067,0.265,,
2.284,0.424,,
2.537,0.554,,
2.833,0.64,,
3.157,0.668,,
3.479,0.635,,
3.771,0.545,,
4.022,0.412,,
4.236,0.251,,
4.424,0.072,,
4.601,-0.117,,
1.873,0.092,,
2.063,0.27,,
2.28,0.43,,
2.535,0.56,,
2.831,0.646,,
3.158,0.675,,
3.482,0.641,,
3.775,0.55,,
4.026,0.417,,
4.24,0.255,,
4.43,0.076,,
4.606,-0.113,,
1.869,0.097,,
2.06,0.276,,
2.277,0.436,,
2.532,0.566,,
2.83,0.653,,
3.159,0.681,,
3.485,0.647,,
3.779,0.556,,
4.031,0.422,,
4.246,0.26,,
4.435,0.08,,
4.611,-0.11,,
1.865,0.102,,
2.056,0.281,,
2.273,0.442,,
2.53,0.572,,
2.83,0.659,,
3.16,0.688,,
3.488,0.653,,
3.784,0.561,,
4.036,0.427,,
4.251,0.264,,
4.44,0.084,,
4.617,-0.106,,
1.86,0.107,,
2.052,0.286,,
2.27,0.447,,
2.527,0.579,,
2.829,0.666,,
3.161,0.694,,
3.491,0.659,,
3.788,0.567,,
4.041,0.432,,
4.256,0.269,,
4.445,0.088,,
4.622,-0.102,,
1.855,0.114,,
2.047,0.293,,
2.266,0.455,,
2.524,0.587,,
2.827,0.674,,
3.162,0.703,,
3.495,0.667,,
3.794,0.574,,
4.047,0.438,,
4.262,0.274,,
4.452,0.093,,
4.629,-0.097,,
1.851,0.119,,
2.043,0.299,,
2.262,0.461,,
2.522,0.593,,
2.827,0.681,,
3.164,0.709,,
3.498,0.673,,
3.798,0.579,,
4.052,0.443,,
4.268,0.278,,
4.458,0.097,,
4.635,-0.093,,
1.847,0.124,,
2.039,0.305,,
2.259,0.467,,
2.519,0.599,,
2.826,0.687,,
3.165,0.716,,
3.502,0.679,,
3.803,0.585,,
4.057,0.448,,
4.273,0.283,,
4.463,0.101,,
4.64,-0.09,,
1.843,0.13,,
2.035,0.31,,
2.255,0.473,,
2.517,0.606,,
2.825,0.694,,
3.166,0.723,,
3.505,0.686,,
3.807,0.59,,
4.063,0.453,,
4.279,0.287,,
4.469,0.105,,
4.646,-0.086,,
1.838,0.135,,
2.031,0.316,,
2.252,0.479,,
2.514,0.612,,
2.824,0.701,,
3.168,0.729,,
3.509,0.692,,
3.812,0.596,,
4.068,0.457,,
4.284,0.291,,
4.474,0.109,,
4.652,-0.082,,
1.834,0.14,,
2.027,0.322,,
2.248,0.485,,
2.512,0.619,,
2.823,0.708,,
3.169,0.736,,
3.512,0.698,,
3.817,0.601,,
4.073,0.462,,
4.29,0.296,,
4.48,0.113,,
4.658,-0.078,,
1.83,0.146,,
2.023,0.327,,
2.245,0.491,,
2.509,0.625,,
2.823,0.715,,
3.171,0.743,,
3.516,0.704,,
3.822,0.607,,
4.079,0.467,,
4.295,0.3,,
4.486,0.117,,
4.663,-0.074,,
1.826,0.151,,
2.019,0.333,,
2.241,0.497,,
2.507,0.632,,
2.822,0.722,,
3.173,0.75,,
3.52,0.711,,
3.827,0.612,,
4.084,0.472,,
4.301,0.304,,
4.491,0.121,,
4.669,-0.071,,
1.822,0.157,,
2.015,0.339,,
2.238,0.503,,
2.504,0.639,,
2.821,0.728,,
3.174,0.757,,
3.524,0.717,,
3.832,0.618,,
4.09,0.477,,
4.307,0.308,,
4.497,0.125,,
4.675,-0.067,,
1.817,0.163,,
2.011,0.345,,
2.234,0.51,,
2.501,0.645,,
2.82,0.735,,
3.176,0.763,,
3.528,0.723,,
3.837,0.623,,
4.096,0.481,,
4.312,0.313,,
4.503,0.129,,
4.681,-0.063,,
1.813,0.168,,
2.007,0.351,,
2.231,0.516,,
2.499,0.652,,
2.82,0.742,,
3.178,0.77,,
3.532,0.729,,
3.843,0.629,,
4.101,0.486,,
4.318,0.317,,
4.509,0.132,,
4.687,-0.059,,
1.809,0.174,,
2.003,0.356,,
2.227,0.522,,
2.496,0.659,,
2.819,0.749,,
3.18,0.777,,
3.536,0.736,,
3.848,0.634,,
4.107,0.491,,
4.324,0.321,,
4.514,0.136,,
4.692,-0.056,,
1.805,0.179,,
1.999,0.362,,
2.224,0.528,,
2.494,0.665,,
2.818,0.756,,
3.182,0.784,,
3.54,0.742,,
3.853,0.64,,
4.113,0.496,,
4.33,0.325,,
4.52,0.14,,
4.698,-0.052,,
1.801,0.185,,
1.995,0.368,,
2.22,0.535,,
2.491,0.672,,
2.818,0.763,,
3.184,0.791,,
3.544,0.748,,
3.859,0.645,,
4.119,0.5,,
4.336,0.33,,
4.526,0.144,,
4.704,-0.048,,
1.797,0.191,,
1.991,0.374,,
2.216,0.541,,
2.489,0.679,,
2.817,0.77,,
3.186,0.798,,
3.549,0.754,,
3.864,0.651,,
4.125,0.505,,
4.342,0.334,,
4.532,0.148,,
4.71,-0.044,,
1.792,0.196,,
1.987,0.38,,
2.213,0.547,,
2.486,0.685,,
2.817,0.777,,
3.188,0.804,,
3.553,0.761,,
3.87,0.656,,
4.131,0.51,,
4.348,0.338,,
4.538,0.152,,
4.716,-0.041,,
1.788,0.202,,
1.983,0.386,,
2.209,0.554,,
2.484,0.692,,
2.816,0.784,,
3.19,0.811,,
3.558,0.767,,
3.876,0.661,,
4.137,0.514,,
4.354,0.342,,
4.544,0.156,,
4.722,-0.037,,
1.784,0.208,,
1.979,0.392,,
2.206,0.56,,
2.481,0.699,,
2.816,0.791,,
3.192,0.818,,
3.562,0.773,,
3.882,0.667,,
4.143,0.519,,
4.36,0.346,,
4.55,0.159,,
4.728,-0.033,,
1.78,0.213,,
1.975,0.398,,
2.202,0.566,,
2.478,0.706,,
2.815,0.798,,
3.195,0.825,,
3.567,0.779,,
3.887,0.672,,
4.149,0.524,,
4.366,0.35,,
4.556,0.163,,
4.734,-0.029,,
1.776,0.219,,
1.971,0.404,,
2.198,0.572,,
2.476,0.712,,
2.814,0.805,,
3.197,0.832,,
3.571,0.785,,
3.893,0.677,,
4.155,0.528,,
4.372,0.354,,
4.562,0.167,,
4.74,-0.026,,
1.771,0.225,,
1.967,0.41,,
2.195,0.579,,
2.473,0.719,,
2.814,0.812,,
3.199,0.839,,
3.576,0.792,,
3.899,0.683,,
4.161,0.533,,
4.378,0.358,,
4.568,0.171,,
4.746,-0.022,,
1.767,0.231,,
1.963,0.416,,
2.191,0.585,,
2.47,0.726,,
2.813,0.819,,
3.202,0.846,,
3.581,0.798,,
3.905,0.688,,
4.168,0.537,,
4.384,0.362,,
