Hoy Azimuth Altitude Hor_Angle Ver_Angle
642 249.611596 1.382819 1.475174 3.963625
656 115.231912 11.199121 12.345736 24.912715
657 123.095419 23.269765 27.172468 38.223028
658 133.588893 34.15188 43.124425 44.534798
659 147.952129 42.960394 60.32473 47.691351
660 166.889928 48.340951 78.590892 49.091132
661 188.496312 48.916827 82.660095 49.229752
662 208.322668 44.504444 64.232721 48.150799
663 223.700211 36.326074 46.782728 45.48363
664 234.948833 25.810265 30.573923 40.101617
665 243.312453 13.94449 15.530879 28.936089
666 249.832667 1.518444 1.617585 4.396735
680 114.972094 11.286448 12.415899 25.301292
681 122.831538 23.388258 27.235406 38.57974
682 133.324288 34.310024 43.168992 44.844395
683 147.712492 43.166122 60.338238 47.971558
684 166.737051 48.59156 78.562225 49.358573
685 188.489553 49.18731 82.73469 49.499298
686 208.442396 44.761385 64.346952 48.438196
687 223.884236 36.552957 46.9239 45.80918
688 235.156994 26.006227 30.728838 40.494502
689 243.530521 14.113748 15.689115 29.428024
690 250.059963 1.654296 1.759738 4.840609
704 114.708827 11.378799 12.491194 25.708617
705 122.564392 23.511925 27.303508 38.94829
706 133.056776 34.473566 43.218765 45.162316
707 147.471079 43.377516 60.356805 48.25823
708 166.585448 48.847851 78.5384 49.631631
709 188.488637 49.46261 82.80505 49.774086
710 208.570587 45.021464 64.457661 48.730757
711 224.076689 36.781376 47.062226 46.140245
712 235.372663 26.202607 30.881711 40.894037
713 243.75526 14.282739 15.845826 29.928801
714 250.2934 1.790249 1.901566 5.295759
728 114.442201 11.476134 12.571517 26.134873
729 122.294049 23.640705 27.376731 39.328578
730 132.786396 34.642428 43.273639 45.488373
731 147.2279 43.594488 60.380525 48.551371
732 166.435154 49.109731 78.519347 49.910185
733 188.493677 49.742617 82.871038 50.053927
734 208.707341 45.284546 64.564773 49.028433
735 224.277593 37.011194 47.19781 46.476829
736 235.595805 26.399288 31.032422 41.299993
737 243.986603 14.45137 16.000962 30.43863
738 250.532894 1.926179 2.042884 5.762416
752 114.172305 11.578413 12.656863 26.58036
753 122.020576 23.774535 27.455063 39.720611
754 132.513184 34.81653 43.3336 45.822528
755 146.982964 43.816948 60.409168 48.850765
756 166.286199 49.377106 78.505113 50.19408
757 188.504783 50.027218 82.93276 50.338838
758 208.852758 45.550496 64.668247 49.331123
759 224.486968 37.242277 47.330567 46.818843
760 235.826381 26.596153 31.180947 41.712482
761 244.224477 14.619546 16.154434 30.957628
762 250.778355 2.061971 2.183568 6.240973
776 113.899226 11.685586 12.747141 27.045379
777 121.744036 23.913347 27.538375 40.124146
778 132.237172 34.995787 43.398593 46.164583
779 146.736273 44.044802 60.442729 49.156281
780 166.13861 49.64988 78.495481 50.483281
781 188.522067 50.316301 82.990147 50.62855
782 209.006935 45.819178 64.768111 49.638636
783 224.70483 37.47449 47.460312 47.1661
784 236.064346 26.793088 31.327274 42.131444
785 244.46881 14.78718 16.306194 31.48578
786 251.029693 2.197512 2.323559 6.732043
800 113.62305 11.797605 12.842283 27.529989
801 121.464491 24.057072 27.626568 40.539166
802 131.95839 35.180114 43.468512 46.514445
803 146.487827 44.277956 60.481142 49.467837
804 165.992414 49.927954 78.490583 50.777671
805 188.54564 50.60975 83.043319 50.92312
806 209.169969 46.090455 64.864328 49.951012
807 224.931192 37.707699 47.587164 47.518611
808 236.309655 26.989979 31.471258 42.556819
809 244.719524 14.954183 16.456198 32.023367
810 251.286816 2.332697 2.462737 7.236101
824 113.343863 11.914414 12.942241 28.034537
825 121.181999 24.205636 27.71966 40.96568
826 131.676865 35.369421 43.54325 46.871912
827 146.23762 44.516312 60.524278 49.785251
828 165.847631 50.21123 78.490232 51.077061
829 188.575616 50.907451 83.092274 51.222333
830 209.341955 46.364188 64.956836 50.26807
831 225.166061 37.941767 47.71099 47.876289
832 236.562255 27.186714 31.612894 42.988494
833 244.976538 15.120471 16.604242 32.570262
834 251.549628 2.467423 2.600925 7.753457
848 113.061746 12.035956 13.046939 28.559122
849 120.89662 24.35896 27.81747 41.4034
850 131.392621 35.563616 43.622756 47.236881
851 145.985642 44.759768 60.572168 50.108529
852 165.704279 50.499607 78.494429 51.381372
853 188.612109 51.209286 83.137068 51.526148
854 209.522987 46.640238 65.045732 50.589666
855 225.409441 38.176563 47.831815 48.238998
856 236.822091 27.383183 31.752075 43.426469
857 245.23977 15.285961 16.750485 33.126809
858 251.818031 2.601595 2.738128 8.285033
872 112.776781 12.162168 13.156302 29.104018
873 120.608407 24.516966 27.919989 41.852246
874 131.105679 35.762602 43.706831 47.609148
875 145.731881 45.008224 60.624617 50.437361
876 165.562374 50.792982 78.503087 51.690487
877 188.655232 51.515137 83.177631 51.834399
878 209.713158 46.918466 65.13086 50.9158
879 225.661332 38.411953 47.949618 48.606659
880 237.089102 27.579279 31.888912 43.870696
881 245.509132 15.450575 16.894707 33.692946
882 252.091927 2.735125 2.87417 8.831189
896 112.489047 12.292987 13.270284 29.669358
897 120.317416 24.679567 28.027037 42.311984
898 130.816057 35.966281 43.795568 47.988655
899 145.476318 45.261573 60.68163 50.771692
900 165.421928 51.091251 78.516107 52.004301
901 188.705102 51.824885 83.214066 52.146982
902 209.912558 47.19873 65.212481 51.246369
