Hoy,Azimuth,Altitude,Hor_Angle,Ver_Angle,I_direct,I_diffuse,sky_cover
5059,289.811745,0.820072,0.871628,0.0,25.0,36.0,0.9
5070,70.285661,0.768856,0.816742,0.0,0.0,0.0,0.9
5071,75.577664,13.637002,14.063413,0.0,7.0,41.0,0.9
5072,80.289918,27.145116,27.482189,0.0,106.0,128.0,0.9
5073,84.874233,40.862954,40.976597,0.0,85.0,230.0,0.9
5074,89.981556,54.687584,54.687594,0.0,263.0,265.0,0.9
5075,97.449309,68.500508,68.665583,87.076543,119.0,399.0,0.9
5076,120.248412,81.748897,82.859828,85.821956,137.0,477.0,0.9
5077,239.683224,81.745844,82.862051,85.811903,111.0,626.0,0.9
5078,262.470599,68.495272,68.663965,87.044497,114.0,582.0,0.9
5079,269.929987,54.67798,54.677976,89.950423,598.0,329.0,0.9
5080,275.033027,40.847591,40.95714,0.0,445.0,274.0,0.7
5081,279.607957,27.120907,27.450671,0.0,261.0,279.0,0.6
5082,284.311118,13.601415,14.020081,0.0,328.0,113.0,0.4
5083,289.590918,0.724046,0.768552,0.0,63.0,41.0,0.4
5094,70.518536,0.692072,0.734117,0.0,0.0,0.0,0.9
5095,75.823222,13.56598,13.97565,0.0,6.0,61.0,0.9
5096,80.562182,27.08664,27.404428,0.0,48.0,163.0,0.9
5097,85.197525,40.813407,40.913125,0.0,139.0,233.0,0.9
5098,90.406045,54.641681,54.642384,89.71189,161.0,323.0,0.9
5099,98.114111,68.445951,68.642191,86.808907,144.0,228.0,0.9
5100,121.739087,81.621928,82.860785,85.56987,51.0,252.0,0.9
5101,238.298248,81.596047,82.835795,85.56071,306.0,507.0,0.9
5102,261.825092,68.414086,68.613509,86.780015,353.0,359.0,0.8
5103,269.515269,54.605083,54.606051,89.655602,282.0,226.0,0.8
5104,274.717166,40.771083,40.867213,0.0,221.0,400.0,0.8
5105,279.34258,27.035661,27.34663,0.0,184.0,207.0,0.9
5106,284.072873,13.504024,13.905883,0.0,34.0,116.0,0.9
5107,289.366555,0.624984,0.662477,0.0,11.0,41.0,0.9
5118,70.75688,0.615927,0.652388,0.0,0.0,0.0,0.9
5119,76.074225,13.495372,13.888438,0.0,0.0,42.0,0.9
5120,80.840216,27.028572,27.327361,0.0,28.0,123.0,0.9
5121,85.5274,40.764076,40.850526,0.0,17.0,187.0,0.9
5122,90.838776,54.595476,54.598395,89.403854,145.0,421.0,0.9
5123,98.79025,68.389723,68.620483,86.535766,66.0,269.0,0.9
5124,123.221079,81.488671,82.864053,85.312748,176.0,533.0,0.9
5125,236.945133,81.436745,82.806847,85.304687,77.0,293.0,0.9
5126,261.17352,68.326685,68.559961,86.510487,130.0,493.0,0.9
5127,269.094951,54.527201,54.530575,89.355161,99.0,430.0,0.9
5128,274.396661,40.690099,40.773563,0.0,112.0,237.0,0.9
5129,279.07318,26.946168,27.238657,0.0,50.0,297.0,0.9
5130,283.830973,13.402484,13.787618,0.0,22.0,118.0,0.9
5131,289.138732,0.523015,0.5536,0.0,2.0,52.0,0.9
5142,71.000625,0.540464,0.571618,0.0,0.0,0.0,0.7
5143,76.330593,13.425198,13.801802,0.0,12.0,51.0,0.7
5144,81.12393,26.970908,27.250912,0.0,64.0,130.0,0.7
5145,85.863749,40.714932,40.788834,0.0,162.0,232.0,0.7
5146,91.279594,54.548903,54.55567,89.089096,83.0,349.0,0.7
5147,99.477362,68.331697,68.600544,86.257058,295.0,379.0,0.8
5148,124.692095,81.349028,82.869441,85.05075,235.0,412.0,0.9
5149,235.626233,81.268064,82.77513,85.04393,497.0,389.0,0.9
5150,260.516626,68.232991,68.503186,86.235946,190.0,234.0,0.9
5151,268.669342,54.444284,54.451558,89.049043,220.0,313.0,0.9
5152,274.071694,40.604615,40.676146,0.0,300.0,257.0,0.9
5153,278.799884,26.852425,27.126781,0.0,96.0,211.0,0.9
5154,283.585512,13.296809,13.665425,0.0,42.0,99.0,0.9
5155,288.907525,0.418281,0.442117,0.0,15.0,47.0,0.9
5166,71.249698,0.465727,0.491805,0.0,0.0,0.0,0.9
5167,76.592248,13.355474,13.715743,0.0,17.0,39.0,0.9
5168,81.413235,26.913643,27.175182,0.0,33.0,191.0,0.9
5169,86.206464,40.665942,40.728083,0.0,166.0,277.0,0.9
5170,91.728341,54.501894,54.514222,88.76762,148.0,388.0,0.9
5171,100.175074,68.271748,68.582333,85.972965,348.0,402.0,0.9
5172,126.149979,81.202919,82.877124,84.783872,254.0,406.0,0.9
5173,234.343477,81.090152,82.740695,84.778428,164.0,361.0,0.9
5174,259.855155,68.132936,68.443264,85.956544,187.0,457.0,0.9
5175,268.238753,54.356288,54.369087,88.737472,149.0,405.0,0.9
5176,273.742448,40.514609,40.575037,0.0,77.0,292.0,0.9
5177,278.52282,26.75443,27.011008,0.0,63.0,143.0,0.9
5178,283.336588,13.187019,13.539199,0.0,45.0,131.0,0.9
5179,288.673007,0.310938,0.328223,0.0,9.0,44.0,0.9
5190,71.504024,0.391754,0.41307,0.0,0.0,0.0,0.4
5191,76.859106,13.286212,13.630345,0.0,15.0,41.0,0.6
5192,81.708037,26.856766,27.10022,0.0,47.0,87.0,0.7
5193,86.555432,40.617072,40.668258,0.0,78.0,265.0,0.9
5194,92.184855,54.454378,54.474108,88.439713,133.0,313.0,0.9
5195,100.882997,68.209748,68.565795,85.683553,146.0,524.0,0.9
5196,127.592714,81.050284,82.887041,84.512283,107.0,474.0,0.9
5197,233.098384,80.903174,82.703528,84.508395,137.0,315.0,0.9
5198,259.189847,68.026463,68.380166,85.672313,168.0,182.0,0.9
5199,267.803493,54.263175,54.283123,88.420317,143.0,443.0,0.9
5200,273.409106,40.420068,40.470187,0.0,59.0,158.0,0.9
5201,278.242114,26.652189,26.891392,0.0,101.0,239.0,0.9
5202,283.084295,13.073133,13.409178,0.0,55.0,173.0,0.9
5203,288.435251,0.201155,0.212048,0.0,3.0,28.0,0.9
5214,71.763528,0.318582,0.335413,0.0,0.0,0.0,0.9
5215,77.131085,13.217426,13.545575,0.0,0.0,36.0,0.9
5216,82.008244,26.800268,27.025972,0.0,97.0,81.0,0.9
5217,86.910542,40.568284,40.60948,0.0,121.0,239.0,0.9
5218,92.648972,54.406284,54.435277,88.105311,200.0,266.0,0.9
5219,101.600734,68.145571,68.55107,85.388948,40.0,382.0,0.9
5220,129.018441,80.891078,82.899246,84.236032,166.0,338.0,0.9
5221,231.89209,80.707316,82.663602,84.233803,250.0,410.0,0.9
5222,258.521437,67.913525,68.313917,85.38328,433.0,258.0,0.9
5223,267.363875,54.164912,54.193672,88.09766,199.0,537.0,0.9
5224,273.07185,40.320979,40.361627,0.0,327.0,341.0,0.9
5225,277.957892,26.545707,26.76804,0.0,156.0,231.0,0.9
5226,282.828728,12.955176,13.275256,0.0,72.0,83.0,0.9
5227,288.194331,0.089118,0.093784,0.0,7.0,35.0,0.9
5238,72.028132,0.246245,0.25889,0.0,0.0,0.0,0.2
5239,77.4081,13.149124,13.461516,0.0,9.0,42.0,0.9
5240,82.313762,26.744135,26.952487,0.0,29.0,163.0,0.3
5241,87.271678,40.519539,40.551614,0.0,345.0,232.0,0.8
5242,93.120522,54.357536,54.397803,87.764632,54.0,244.0,0.5
5243,102.327872,68.079089,68.538117,85.089267,115.0,388.0,0.9
5244,130.425455,80.725272,82.913621,83.95517,315.0,433.0,0.9
5245,230.725371,80.502774,82.62098,83.954766,58.0,305.0,0.5
5246,257.850649,67.794081,68.244529,85.089606,114.0,489.0,0.9
5247,266.920211,54.061471,54.100821,87.769651,112.0,338.0,0.9
5248,272.730864,40.217336,40.249431,0.0,271.0,354.0,0.9
5249,277.67028,26.434997,26.640825,0.0,188.0,290.0,0.9
5250,282.56998,12.833178,13.137511,0.0,93.0,125.0,0.8
5262,72.297756,0.174774,0.183438,0.0,0.0,0.0,0.3
5263,77.690066,13.081313,13.378223,0.0,181.0,38.0,0.3
5264,82.624494,26.68835,26.879839,0.0,475.0,71.0,0.3
5265,87.638724,40.470795,40.494811,0.0,475.0,122.0,0.3
5266,93.599334,54.308059,54.361668,87.417829,495.0,283.0,0.4
5267,103.063989,68.010175,68.526884,84.784518,304.0,305.0,0.6
5268,131.812217,80.552853,82.930329,83.669855,358.0,410.0,0.8
5269,229.598672,80.289759,82.575625,83.671363,546.0,375.0,0.8
5270,257.178196,67.668106,68.172014,84.791302,420.0,375.0,0.8
5271,266.472811,53.952832,54.004528,87.436228,248.0,402.0,0.8
5272,272.386329,40.109135,40.133665,0.0,185.0,239.0,0.8
5273,277.379403,26.320072,26.509927,0.0,46.0,297.0,0.9
5274,282.308146,12.707171,12.996061,0.0,82.0,190.0,0.9
5286,72.57232,0.104198,0.109235,0.0,0.0,0.0,0.9
5287,77.976895,13.013997,13.295619,0.0,1.0,40.0,0.9
5288,82.940344,26.632896,26.807998,0.0,55.0,152.0,0.9
5289,88.011562,40.422008,40.439024,0.0,63.0,205.0,0.9
5290,94.085232,54.257775,54.326863,87.064976,133.0,264.0,0.9
5291,103.80865,67.938705,68.517477,84.474951,145.0,372.0,0.9
5292,133.177349,80.373825,82.94921,83.38015,59.0,293.0,0.9
5293,228.512147,80.068486,82.5276,83.383649,162.0,562.0,0.9
5294,256.504777,67.53558,68.096459,84.488411,122.0,289.0,0.9
5295,266.021983,53.83898,53.904795,87.097536,70.0,389.0,0.9
5296,272.038426,39.99638,40.01424,0.0,37.0,191.0,0.9
