Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,ED,Val_ED,Optimizer
1932,2,1,70,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,376.078,0.797,220.393,0.0,34.001,0.0,-0.435
1932,2,2,27,-0.0,0.973,0.0,0.722,0.0,0.0,0.0,924.965,0.504,221.917,0.0,22.398,0.0,-0.0
1932,2,3,27,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,620.639,0.667,221.924,0.0,27.71,0.0,-0.304
1932,2,4,53,-0.11,0.973,0.0,0.722,0.0,0.696,0.696,194.754,0.895,220.992,0.0,36.857,0.0,-0.696
1932,2,5,68,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,141.403,0.924,220.482,0.0,39.224,0.0,-0.783
1932,2,6,8,-0.02,0.973,0.0,0.722,0.0,0.13,0.13,1205.684,0.355,222.587,0.0,22.96,0.0,-0.13
1932,2,7,45,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,307.417,0.835,221.301,0.0,33.883,0.0,-0.565
1932,2,8,32,-0.0,0.973,0.0,0.722,0.0,0.0,0.0,866.46,0.535,221.749,0.0,23.017,0.0,-0.0
1932,2,9,29,0.0,0.973,0.0,0.722,0.0,0.0,0.0,900.78,0.517,221.852,0.0,22.642,0.0,-0.0
1932,3,0,73,0.0,0.973,0.0,0.722,0.0,0.304,0.304,703.794,0.62,220.3,0.0,27.756,0.0,-0.304
1932,3,1,49,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,248.564,0.866,221.138,0.0,35.375,0.0,-0.652
1932,3,2,29,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,181.727,0.902,221.854,0.0,35.951,0.0,-0.783
1932,3,3,62,-0.03,0.973,0.0,0.722,0.0,0.217,0.217,565.48,0.695,220.69,0.0,29.317,0.0,-0.217
1932,3,4,69,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,422.567,0.772,220.433,0.0,32.893,0.0,-0.391
1932,3,5,23,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,199.161,0.893,222.061,0.0,35.547,0.0,-0.783
1932,3,6,8,0.12,0.983,0.0,0.724,0.0,0.739,0.739,280.135,0.85,222.587,0.0,4.829,0.0,-0.739
1932,3,7,43,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,568.774,0.694,221.358,0.0,28.256,0.0,-0.261
1932,3,8,0,0.09,0.973,0.0,0.654,0.0,0.826,0.826,753.5,0.598,222.879,0.0,8.16,0.0,-0.826
1932,3,9,0,0.1,0.973,0.0,0.654,0.0,0.783,0.783,628.345,0.664,222.879,0.0,6.8,0.0,-0.783
1932,4,0,31,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,527.339,0.717,221.777,0.0,29.199,0.0,-0.391
1932,4,1,23,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,723.568,0.612,222.053,0.0,26.235,0.0,-0.261
1932,4,2,45,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,153.607,0.917,221.289,0.0,37.268,0.0,-0.783
1932,4,3,4,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,1137.404,0.392,222.705,0.0,25.234,0.0,-0.261
1932,4,4,10,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,960.5,0.486,222.511,0.0,25.408,0.0,-0.261
1932,4,5,0,-0.04,0.97,0.0,0.643,0.0,0.304,0.304,1330.451,0.289,222.851,0.0,25.2,0.0,-0.304
1932,4,6,21,0.04,0.975,0.0,0.724,0.0,0.217,0.217,746.709,0.6,222.116,0.0,16.572,0.0,-0.217
1932,4,7,0,0.0,0.97,0.0,0.643,0.0,0.565,0.565,1872.186,0.0,222.879,0.0,20.4,0.0,-0.565
1932,4,8,0,-0.03,0.97,0.0,0.643,0.0,0.522,0.522,1500.833,0.198,222.879,0.0,24.0,0.0,-0.522
1932,4,9,0,0.1,0.973,0.0,0.654,0.0,0.783,0.783,628.345,0.664,222.879,0.0,6.8,0.0,-0.783
1932,5,0,57,0.0,0.973,0.0,0.722,0.0,0.13,0.13,714.824,0.615,220.867,0.0,26.181,0.0,-0.13
1932,5,1,50,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,247.636,0.867,221.115,0.0,35.467,0.0,-0.652
