Unnamed: 0,Hoy,SD_Angle,SD_Position,vis,Shaded_Ratio,Unshaded_Ratio,PVG
679,1576,68,-0.05,0.34782609,0.7251,0.2749,115.39123334598403
680,1577,31,-0.05,0.34782609,0.7551,0.2449,28.62585160408844
681,1578,58,-0.02,0.26086957,0.8115,0.1885,0.0
682,1591,53,-0.04,0.26086957,0.8018,0.1982,29.885583841198873
683,1592,79,-0.02,0.34782609,0.8572,0.1428,61.2713471734839
684,1593,23,0.14,0.86956522,0.2114,0.7886,155.65732076525035
685,1594,3,-0.04,0.26086957,0.7678,0.2322,132.267363030369
686,1595,55,0.13,0.86956522,0.2073,0.7927,299.50617651740794
687,1596,45,-0.13,0.82608696,0.2464,0.7536,268.76072488284416
688,1597,54,0.09,0.60869565,0.4309,0.5691,271.9166672173259
689,1598,38,-0.03,0.2173913,0.841,0.159,182.89534569576108
690,1599,47,0.14,0.86956522,0.1682,0.8318,157.62723338680698
691,1600,52,-0.02,0.17391304,0.8974,0.1026,40.57348118024916
692,1601,18,0.04,0.2173913,0.7734,0.2266,22.221633534339496
693,1602,33,-0.03,0.2173913,0.8694,0.1306,0.0
694,1615,56,0.02,0.2173913,0.844,0.156,30.607170030198805
695,1616,27,-0.03,0.2173913,0.8592,0.1408,87.16979535630742
696,1617,59,0.13,0.86956522,0.2663,0.7337,245.58259105306965
697,1618,65,0.09,0.60869565,0.4588,0.5412,355.12098575482827
698,1619,81,-0.14,0.91304348,0.1855,0.8145,383.75615358142505
699,1620,49,-0.02,0.17391304,0.9202,0.0798,485.39576307917827
700,1621,47,0.14,0.86956522,0.126,0.874,474.7135185645256
701,1622,59,-0.05,0.34782609,0.7215,0.2785,408.9483744209376
702,1623,18,-0.07,0.43478261,0.6128,0.3872,264.8750132123344
703,1624,37,-0.02,0.13043478,0.9009,0.0991,174.87273544850393
704,1625,22,-0.05,0.30434783,0.7556,0.2444,43.849005345906384
705,1626,25,0.05,0.26086957,0.8079,0.1921,0.2760333923042537
706,1639,54,0.08,0.52173913,0.6504,0.3496,38.45232912470072
707,1640,41,-0.03,0.2173913,0.8547,0.1453,118.3268746887864
708,1641,32,-0.05,0.34782609,0.7424,0.2576,208.31514928179888
709,1642,60,-0.14,0.91304348,0.2063,0.7937,319.1055477157092
710,1643,23,-0.01,0.08695652,0.9599,0.0401,320.9659896165987
711,1644,70,-0.12,0.7826087,0.3059,0.6941,250.62302834870547
712,1645,59,0.09,0.60869565,0.4309,0.5691,268.380529153809
713,1646,28,0.13,0.82608696,0.2068,0.7932,304.3260084178701
714,1647,59,-0.05,0.34782609,0.7276,0.2724,209.89267006345207
715,1648,3,0.04,0.2173913,0.7546,0.2454,93.56286766229707
716,1649,23,0.1,0.60869565,0.4624,0.5376,32.5877196118085
717,1650,63,0.01,0.2173913,0.8018,0.1982,0.5413286438083703
718,1663,80,-0.1,0.69565217,0.5493,0.4507,39.94933821251295
719,1664,44,0.04,0.2173913,0.7713,0.2287,153.4356543990636
720,1665,42,-0.09,0.56521739,0.5224,0.4776,253.30820615560114
721,1666,74,0.07,0.56521739,0.5711,0.4289,337.8090431437581
722,1667,29,0.0,0.08695652,0.9802,0.0198,405.80242171035843
723,1668,33,-0.01,0.08695652,0.9599,0.0401,430.47903893339543
724,1669,18,0.14,0.86956522,0.126,0.874,301.2032487104741
725,1670,35,0.13,0.82608696,0.2068,0.7932,348.20412892561393
726,1671,42,-0.02,0.17391304,0.9019,0.0981,287.720714451092
727,1672,10,0.02,0.08695652,0.8674,0.1326,160.44457497295718
728,1673,45,0.08,0.47826087,0.5661,0.4339,55.60825064170984
729,1674,16,-0.05,0.30434783,0.8293,0.1707,0.2389516099414176
730,1687,38,-0.05,0.34782609,0.7957,0.2043,38.214343200711866
731,1688,11,0.04,0.2173913,0.7729,0.2271,95.95178660361097
732,1689,35,0.03,0.13043478,0.815,0.185,234.0308580699939
733,1690,58,0.13,0.86956522,0.2271,0.7729,326.303712373869
734,1691,37,-0.14,0.91304348,0.2058,0.7942,380.69335436106996
735,1692,47,-0.04,0.26086957,0.8013,0.1987,440.4438307720494
736,1693,73,0.14,0.91304348,0.126,0.874,402.09748719754253
737,1694,8,0.13,0.82608696,0.2068,0.7932,297.4188086599517
738,1695,50,-0.07,0.47826087,0.6306,0.3694,225.83939505097845
739,1696,52,-0.05,0.34782609,0.7419,0.2581,135.38490015238872
740,1697,27,0.05,0.26086957,0.721,0.279,35.31102862791172
741,1698,41,-0.01,0.08695652,0.9126,0.0874,0.0
742,1711,17,-0.06,0.39130435,0.7581,0.2419,48.86568926427099
743,1712,31,-0.07,0.43478261,0.6514,0.3486,158.0243174489444
744,1713,79,-0.08,0.56521739,0.5752,0.4248,253.62910716638987
745,1714,45,0.11,0.69565217,0.343,0.657,408.3330290317488
746,1715,43,0.11,0.69565217,0.3262,0.6738,474.35417050047835
747,1716,19,0.08,0.47826087,0.5041,0.4959,461.4008308169126
748,1717,27,0.14,0.86956522,0.126,0.874,449.2147100905273
749,1718,7,-0.09,0.56521739,0.4842,0.5158,328.2344330500651
750,1719,51,0.04,0.26086957,0.7475,0.2525,318.14753432067164
751,1720,36,0.05,0.26086957,0.7053,0.2947,196.42464214951934
752,1721,54,-0.04,0.26086957,0.8084,0.1916,61.5393655002226
753,1722,39,0.07,0.39130435,0.7485,0.2515,1.026370912581121
754,1735,53,0.02,0.2173913,0.8735,0.1265,35.25666114158644
755,1736,47,-0.02,0.17391304,0.8984,0.1016,149.80881583840215
756,1737,45,-0.08,0.52173913,0.5945,0.4055,237.84216813546527
757,1738,49,0.11,0.69565217,0.343,0.657,302.7423258135238
758,1739,70,0.14,0.91304348,0.1479,0.8521,377.7224657552508
759,1740,24,0.1,0.60869565,0.3852,0.6148,321.1407202053926
