Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,Optimizer
1932,2,0,84,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,146.546,0.921,219.929,0.0,-0.783
1932,2,1,90,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,302.449,0.836,219.722,0.0,-0.565
1932,2,2,71,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,141.61,0.923,220.359,0.0,-0.783
1932,2,3,57,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,144.264,0.922,220.877,0.0,-0.783
1932,2,4,54,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,145.674,0.922,220.965,0.0,-0.783
1932,2,5,25,-0.01,0.973,0.0,0.722,0.0,0.043,0.043,896.319,0.519,222.0,0.0,-0.043
1932,2,6,49,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,299.22,0.839,221.161,0.0,-0.565
1932,2,7,22,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,202.357,0.892,222.093,0.0,-0.783
1932,2,8,60,-0.08,0.973,0.0,0.722,0.0,0.522,0.522,331.958,0.821,220.74,0.0,-0.522
1932,2,9,71,-0.08,0.973,0.0,0.722,0.0,0.522,0.522,329.468,0.822,220.368,0.0,-0.522
1932,3,0,63,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,236.231,0.873,220.646,0.0,-0.652
1932,3,1,71,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,235.627,0.873,220.372,0.0,-0.652
1932,3,2,39,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,160.879,0.914,221.484,0.0,-0.783
1932,3,3,72,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,235.888,0.873,220.333,0.0,-0.652
1932,3,4,87,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,298.077,0.839,219.804,0.0,-0.565
1932,3,5,33,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,171.192,0.908,221.691,0.0,-0.783
1932,3,6,35,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,168.616,0.909,221.644,0.0,-0.783
1932,3,7,20,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,351.866,0.811,222.176,0.0,-0.652
1932,3,8,43,-0.09,0.973,0.0,0.722,0.0,0.565,0.565,311.815,0.832,221.365,0.0,-0.565
1932,3,9,75,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,142.348,0.923,220.235,0.0,-0.783
1932,4,0,81,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,241.213,0.869,220.02,0.0,-0.652
1932,4,1,43,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,155.786,0.916,221.353,0.0,-0.783
1932,4,2,75,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,142.319,0.923,220.239,0.0,-0.783
1932,4,3,55,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,145.094,0.922,220.931,0.0,-0.783
1932,4,4,43,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,464.978,0.75,221.349,0.0,-0.391
1932,4,5,45,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,408.539,0.78,221.292,0.0,-0.435
1932,4,6,13,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,243.978,0.869,222.408,0.0,-0.783
1932,4,7,18,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,217.289,0.884,222.225,0.0,-0.783
1932,4,8,60,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,142.65,0.923,220.74,0.0,-0.783
