Hoy,SD_Angle,SD_Position
1263,62,-0.05
1264,71,0
1265,10,-0.04
1279,30,0.07
1280,34,-0.06
1281,57,0.11
1282,15,-0.07
1283,41,0.13
1284,40,-0.01
1285,60,-0.05
1286,44,0.08
1287,2,0.12
1288,43,-0.07
1289,90,-0.01
1303,62,0.05
1304,3,-0.11
1305,14,0.03
1306,2,0.12
1307,4,-0.03
1308,13,-0.05
1309,44,-0.14
1310,42,0.13
1311,19,-0.07
1312,59,-0.02
1313,6,0.06
1327,2,-0.04
1328,12,-0.04
1329,56,-0.07
1330,0,0.1
1331,49,-0.03
1332,55,0.14
1333,41,0.08
1334,0,-0.02
1335,31,-0.05
1336,18,0.06
1337,36,-0.05
1338,57,0.02
1351,38,-0.05
1352,41,0.06
1353,38,-0.07
1354,37,-0.06
1355,9,0.1
1356,85,-0.01
1357,18,0.09
1358,90,0.02
1359,57,-0.03
1360,19,-0.09
1361,24,0.03
1362,13,-0.05
1375,17,-0.07
1376,15,-0.07
1377,52,0
1378,12,-0.06
1379,12,-0.07
1380,89,0.1
1381,20,-0.03
1382,51,0.11
1383,27,0.13
1384,61,0.03
1385,84,0.06
1386,40,0
1399,13,-0.07
1400,18,0.04
1401,33,-0.06
1402,19,-0.05
1403,87,0.07
1404,65,-0.13
1405,51,-0.07
1406,32,0.12
1407,47,-0.02
1408,84,-0.04
1409,63,0.04
1410,42,-0.04
1423,59,-0.04
1424,50,-0.09
1425,88,0.01
1426,65,0.08
1427,30,0.14
1428,2,-0.05
1429,15,-0.03
1430,10,-0.06
1431,58,-0.03
1432,64,-0.05
1433,57,0.04
1434,7,0.05
1447,12,-0.05
1448,21,-0.09
1449,17,0.03
1450,5,0.12
1451,18,0.09
1452,1,-0.1
1453,48,0.14
1454,47,-0.05
1455,13,-0.06
1456,38,-0.08
1457,5,0.07
1458,51,-0.02
1471,52,0.01
1472,9,-0.07
1473,3,0.04
1474,38,0.1
1475,25,-0.03
1476,0,-0.02
1477,37,0
1478,36,0.01
1479,74,0.14
1480,45,0.04
1481,33,-0.05
1482,75,0.01
1495,0,-0.05
1496,19,-0.03
1497,23,-0.08
1498,51,0.05
1499,31,-0.02
1500,1,0.14
1501,15,0.02
1502,49,-0.03
1503,51,0
1504,32,0.04
1505,23,0.02
1506,8,0.08
1519,42,0.07
1520,55,-0.06
1521,28,0.02
1522,47,-0.01
1523,32,-0.04
1524,40,0.1
1525,50,0.13
1526,7,-0.07
1527,78,0.11
1528,26,0.04
1529,65,-0.07
1530,83,-0.01
1543,57,-0.06
1544,0,-0.04
1545,18,0.01
1546,83,-0.13
1547,17,-0.08
1548,41,-0.05
1549,23,0.13
1550,20,0.1
1551,70,-0.04
1552,90,-0.1
1553,63,-0.02
1554,66,0.06
1567,63,-0.08
1568,19,-0.02
1569,62,0.02
1570,57,-0.01
1571,12,-0.14
1572,70,0.1
1573,33,0.01
1574,77,0.03
1575,5,-0.05
1576,68,-0.05
1577,31,-0.05
1578,58,-0.02
1591,53,-0.04
1592,79,-0.02
1593,23,0.14
1594,3,-0.04
1595,55,0.13
1596,45,-0.13
1597,54,0.09
1598,38,-0.03
1599,47,0.14
1600,52,-0.02
1601,18,0.04
1602,33,-0.03
1615,56,0.02
1616,27,-0.03
1617,59,0.13
1618,65,0.09
1619,81,-0.14
1620,49,-0.02
1621,47,0.14
1622,59,-0.05
1623,18,-0.07
1624,37,-0.02
1625,22,-0.05
1626,25,0.05
1639,54,0.08
1640,41,-0.03
1641,32,-0.05
1642,60,-0.14
1643,23,-0.01
1644,70,-0.12
1645,59,0.09
1646,28,0.13
1647,59,-0.05
1648,3,0.04
1649,23,0.1
1650,63,0.01
1663,80,-0.1
1664,44,0.04
1665,42,-0.09
1666,74,0.07
1667,29,0
1668,33,-0.01
1669,18,0.14
1670,35,0.13
1671,42,-0.02
1672,10,0.02
1673,45,0.08
1674,16,-0.05
1687,38,-0.05
1688,11,0.04
1689,35,0.03
1690,58,0.13
1691,37,-0.14
1692,47,-0.04
1693,73,0.14
1694,8,0.13
1695,50,-0.07
1696,52,-0.05
1697,27,0.05
1698,41,-0.01
1711,17,-0.06
1712,31,-0.07
1713,79,-0.08
1714,45,0.11
1715,43,0.11
1716,19,0.08
1717,27,0.14
1718,7,-0.09
1719,51,0.04
1720,36,0.05
1721,54,-0.04
1722,39,0.07
1735,53,0.02
1736,47,-0.02
1737,45,-0.08
1738,49,0.11
1739,70,0.14
1740,24,0.1
1741,29,-0.1
1742,4,-0.04
1743,52,0.01
1744,8,-0.03
1745,64,0
1746,69,-0.04
1759,3,-0.04
1760,58,0.01
1761,11,0.11
1762,12,0.14
1763,21,0.02
1764,90,0.14
1765,56,0.11
1766,58,0.09
1767,14,0.03
1768,60,-0.09
1769,65,-0.05
1770,69,0.06
1783,28,0.07
1784,41,-0.04
1785,42,-0.11
1786,90,-0.11
1787,88,0.14
1788,42,-0.01
1789,53,0.14
1790,37,0.04
1791,10,-0.09
1792,0,0.06
1793,69,0.01
1794,22,0.03
1807,25,-0.07
1808,17,-0.09
1809,0,0.03
1810,54,0.11
1811,29,-0.01
1812,57,-0.12
1813,47,-0.02
1814,72,0.13
1815,48,-0.05
1816,47,-0.07
1817,0,-0.05
1818,6,-0.01
1831,80,-0.04
1832,0,0.03
1833,35,-0.05
1834,54,-0.03
1835,59,-0.05
1836,61,0.08
1837,52,0.14
1838,1,-0.06
1839,47,0.03
1840,60,0.02
1841,23,-0.06
1842,7,-0.03
1855,41,-0.05
1856,49,-0.05
1857,76,0
1858,43,-0.03
1859,44,0.14
1860,33,-0.07
1861,24,0.13
1862,16,0.02
1863,68,-0.02
1864,54,0.07
1865,77,-0.04
1866,28,0.08
1879,59,-0.11
1880,63,0.04
1881,56,-0.01
1882,90,0.06
1883,0,-0.04
1884,86,0.06
1885,53,-0.05
1886,0,-0.03
1887,2,-0.05
1888,64,0.04
1889,67,-0.01
1890,76,0.08
1903,38,-0.05
1904,37,0.05
1905,51,-0.02
1906,68,-0.08
1907,88,0.05
1908,0,-0.04
1909,2,0.14
1910,22,0.03
1911,53,0.1
1912,17,-0.02
1913,26,-0.06
1914,58,0
1927,35,-0.1
1928,20,-0.01
1929,43,-0.05
1930,30,0.02
1931,28,-0.02
1932,35,0.08
1933,77,0.07
1934,0,-0.04
1935,63,-0.04
1936,75,-0.02
1937,65,0.01
1938,60,0.06
1951,33,-0.01
1952,63,-0.07
1953,30,-0.09
1954,17,-0.05
1955,49,-0.13
1956,85,0.09
1957,7,-0.02
1958,39,0.01
1959,2,-0.04
1960,39,-0.06
1961,17,-0.04
1962,44,0.03
1975,86,-0.01
1976,52,0.04
1977,62,-0.08
1978,59,0.11
1979,28,0.14
1980,1,-0.05
1981,36,0.01
1982,9,-0.04
1983,90,0.14
1984,62,0
1985,51,0.06
1986,21,-0.07
1999,43,-0.05
2000,49,-0.08
2001,56,0.1
2002,0,-0.07
2003,90,0.14
2004,47,-0.03
2005,65,0.07
2006,1,-0.06
2007,0,0.05
2008,69,-0.03
2009,32,0.06
2010,71,0.02
2023,26,0.02
2024,29,0.03
2025,33,0.02
2026,45,-0.05
2027,37,-0.13
2028,66,0.14
2029,65,0.14
2030,78,-0.11
2031,9,-0.07
2032,1,0.08
2033,3,0.02
2034,48,0.07
2047,77,-0.05
2048,26,0.05
2049,14,0.05
2050,61,0.13
2051,61,0.09
2052,82,0.14
2053,0,0.09
2054,56,0.09
2055,41,0.02
2056,2,0.03
2057,24,0.08
2058,10,-0.05
2071,71,-0.03
2072,10,0.02
2073,2,-0.07
2074,50,0.01
2075,46,-0.03
2076,32,-0.02
2077,56,-0.05
2078,32,-0.06
2079,61,-0.06
2080,6,-0.07
2081,21,-0.02
2082,0,0.05
2095,18,-0.01
2096,45,0.03
2097,63,-0.01
2098,63,-0.01
2099,29,0.01
2100,28,0.11
2101,32,0.12
2102,20,-0.07
2103,58,-0.06
2104,28,0.02
2105,52,0.04
2106,51,0.01
2119,49,0.07
2120,7,0.04
2121,8,-0.03
2122,23,-0.05
2123,44,-0.03
2124,52,0.12
2125,61,-0.05
2126,0,0.08
2127,26,0.04
2128,43,0.01
2129,69,-0.08
2130,47,0.04
2143,43,-0.02
2144,55,0.07
2145,43,-0.07
2146,1,0.12
2147,57,0.13
2148,66,0.08
2149,76,0.04
2150,41,-0.05
2151,42,-0.07
2152,1,0.05
2153,57,0
2154,57,-0.02
