,Hoy,SD_Angle,SD_Position
645,1506,8,0.08
646,1519,42,0.07
647,1520,55,-0.06
648,1521,28,0.02
649,1522,47,-0.01
650,1523,32,-0.04
651,1524,40,0.1
652,1525,50,0.13
653,1526,7,-0.07
654,1527,78,0.11
655,1528,26,0.04
656,1529,65,-0.07
657,1530,83,-0.01
658,1543,57,-0.06
659,1544,0,-0.04
660,1545,18,0.01
661,1546,83,-0.13
662,1547,17,-0.08
663,1548,41,-0.05
664,1549,23,0.13
665,1550,20,0.1
666,1551,70,-0.04
667,1552,90,-0.1
668,1553,63,-0.02
669,1554,66,0.06
670,1567,63,-0.08
671,1568,19,-0.02
672,1569,62,0.02
673,1570,57,-0.01
674,1571,12,-0.14
675,1572,70,0.1
676,1573,33,0.01
677,1574,77,0.03
678,1575,5,-0.05
679,1576,68,-0.05
680,1577,31,-0.05
681,1578,58,-0.02
682,1591,53,-0.04
683,1592,79,-0.02
684,1593,23,0.14
685,1594,3,-0.04
686,1595,55,0.13
687,1596,45,-0.13
688,1597,54,0.09
689,1598,38,-0.03
690,1599,47,0.14
691,1600,52,-0.02
692,1601,18,0.04
693,1602,33,-0.03
694,1615,56,0.02
695,1616,27,-0.03
696,1617,59,0.13
697,1618,65,0.09
698,1619,81,-0.14
699,1620,49,-0.02
700,1621,47,0.14
701,1622,59,-0.05
702,1623,18,-0.07
703,1624,37,-0.02
704,1625,22,-0.05
705,1626,25,0.05
706,1639,54,0.08
707,1640,41,-0.03
708,1641,32,-0.05
709,1642,60,-0.14
710,1643,23,-0.01
711,1644,70,-0.12
712,1645,59,0.09
713,1646,28,0.13
714,1647,59,-0.05
715,1648,3,0.04
716,1649,23,0.1
717,1650,63,0.01
718,1663,80,-0.1
719,1664,44,0.04
720,1665,42,-0.09
721,1666,74,0.07
722,1667,29,0
723,1668,33,-0.01
724,1669,18,0.14
725,1670,35,0.13
726,1671,42,-0.02
727,1672,10,0.02
728,1673,45,0.08
729,1674,16,-0.05
730,1687,38,-0.05
731,1688,11,0.04
732,1689,35,0.03
733,1690,58,0.13
734,1691,37,-0.14
735,1692,47,-0.04
736,1693,73,0.14
737,1694,8,0.13
738,1695,50,-0.07
739,1696,52,-0.05
740,1697,27,0.05
741,1698,41,-0.01
742,1711,17,-0.06
743,1712,31,-0.07
744,1713,79,-0.08
745,1714,45,0.11
746,1715,43,0.11
747,1716,19,0.08
748,1717,27,0.14
749,1718,7,-0.09
750,1719,51,0.04
751,1720,36,0.05
752,1721,54,-0.04
753,1722,39,0.07
754,1735,53,0.02
755,1736,47,-0.02
756,1737,45,-0.08
757,1738,49,0.11
758,1739,70,0.14
759,1740,24,0.1
760,1741,29,-0.1
761,1742,4,-0.04
762,1743,52,0.01
763,1744,8,-0.03
764,1745,64,0
765,1746,69,-0.04
766,1759,3,-0.04
767,1760,58,0.01
768,1761,11,0.11
