Unnamed: 0,Hoy,SD_Angle,SD_Position,Shaded_Ratio,Unshaded_Ratio
828,1766,54,-0.02,0.939024,0.060976
829,1767,51,0.05,0.658537,0.341463
830,1768,78,-0.05,0.792175,0.207825
831,1769,48,-0.04,0.862805,0.137195
832,1770,30,-0.07,0.800305,0.199695
833,1783,58,-0.02,0.916667,0.083333
834,1784,80,-0.05,0.815041,0.184959
835,1785,22,-0.05,0.78811,0.21189
836,1786,10,0.02,0.849593,0.150407
837,1787,39,-0.02,0.939533,0.060467
838,1788,0,0.03,0.781504,0.218496
839,1789,68,-0.08,0.591463,0.408537
840,1790,51,0.01,0.881098,0.118902
841,1791,37,-0.07,0.656504,0.343496
842,1792,23,-0.06,0.735772,0.264228
843,1793,46,0.1,0.502033,0.497967
844,1794,0,-0.05,0.861789,0.138211
845,1807,49,0,0.946138,0.053862
846,1808,65,-0.03,0.90498,0.09502
847,1809,26,-0.02,0.944106,0.055894
848,1810,25,0.08,0.502033,0.497967
849,1811,12,0.14,0.130081,0.869919
850,1812,39,0.1,0.345528,0.654472
851,1813,71,-0.05,0.77439,0.22561
852,1814,38,0.02,0.823171,0.176829
853,1815,30,-0.04,0.82622,0.17378
854,1816,6,-0.08,0.597561,0.402439
855,1817,23,0.08,0.593496,0.406504
856,1818,90,-0.07,0.825711,0.174289
857,1831,14,0.06,0.882622,0.117378
858,1832,15,0.07,0.660061,0.339939
859,1833,27,0.07,0.589939,0.410061
860,1834,2,0.14,0.172764,0.827236
861,1835,59,-0.05,0.783028,0.216972
862,1836,69,-0.05,0.780488,0.219512
863,1837,24,-0.08,0.552846,0.447154
864,1838,51,0.01,0.881098,0.118902
865,1839,81,0.12,0.26372,0.73628
866,1840,41,0.07,0.578252,0.421748
867,1841,49,0.07,0.634146,0.365854
868,1842,70,0.01,0.926321,0.073679
869,1855,22,0.06,0.905488,0.094512
870,1856,52,-0.05,0.820122,0.179878
871,1857,37,0,0.942581,0.057419
872,1858,77,0.12,0.28252,0.71748
873,1859,6,0.12,0.245935,0.754065
874,1860,77,-0.08,0.602134,0.397866
875,1861,47,0.04,0.695122,0.304878
876,1862,33,0,0.939533,0.060467
877,1863,61,0.12,0.280996,0.719004
878,1864,53,-0.01,0.941565,0.058435
879,1865,44,0.01,0.89939,0.10061
880,1866,58,-0.05,0.912093,0.087907
881,1879,37,-0.08,0.9375,0.0625
882,1880,57,-0.05,0.825711,0.174289
883,1881,56,-0.06,0.753049,0.246951
884,1882,43,0.14,0.172764,0.827236
885,1883,9,0.1,0.376016,0.623984
886,1884,51,0.06,0.583333,0.416667
887,1885,49,0.09,0.390244,0.609756
888,1886,46,0.01,0.881098,0.118902
889,1887,62,0.07,0.555386,0.444614
890,1888,18,-0.04,0.82063,0.17937
891,1889,53,0.06,0.686484,0.313516
892,1890,58,-0.07,0.928862,0.071138
893,1903,43,0.08,0.949187,0.050813
894,1904,29,-0.03,0.902439,0.097561
895,1905,12,-0.03,0.85874,0.14126
896,1906,62,-0.01,0.940041,0.059959
897,1907,39,0.03,0.770325,0.229675
898,1908,43,-0.09,0.543699,0.456301
899,1909,48,-0.01,0.939024,0.060976
900,1910,41,0.06,0.591463,0.408537
901,1911,0,-0.06,0.666159,0.333841
902,1912,24,0.05,0.688516,0.311484
903,1913,59,0,0.944614,0.055386
904,1914,58,0.07,0.946138,0.053862
905,1927,52,0.06,0.948679,0.051321
906,1928,48,-0.03,0.922256,0.077744
907,1929,3,-0.05,0.741362,0.258638
908,1930,32,0.07,0.556911,0.443089
909,1931,78,-0.02,0.940041,0.059959
910,1932,48,-0.05,0.800813,0.199187
911,1933,41,0.08,0.45122,0.54878
912,1934,65,0,0.939533,0.060467
913,1935,3,0.05,0.665142,0.334858
914,1936,46,0.06,0.638211,0.361789
915,1937,15,0.09,0.571138,0.428862
916,1938,42,0.04,0.945122,0.054878
917,1951,68,-0.06,0.947154,0.052846
918,1952,52,0.13,0.426829,0.573171
919,1953,47,-0.03,0.92124,0.07876
920,1954,6,0.03,0.77998,0.22002
921,1955,41,0.05,0.65752,0.34248
922,1956,53,0.01,0.880589,0.119411
923,1957,82,-0.07,0.671748,0.328252
924,1958,7,-0.02,0.900915,0.099085
925,1959,10,0.05,0.665142,0.334858
926,1960,24,0.07,0.587907,0.412093
927,1961,39,0.03,0.82063,0.17937
928,1962,48,-0.06,0.944614,0.055386
929,1975,1,-0.07,0.94563,0.05437
930,1976,59,-0.04,0.898882,0.101118
931,1977,90,-0.04,0.880589,0.119411
932,1978,63,0.12,0.299797,0.700203
933,1979,39,-0.04,0.846037,0.153963
934,1980,49,0.03,0.761687,0.238313
935,1981,51,-0.07,0.672256,0.327744
936,1982,82,-0.07,0.685467,0.314533
937,1983,54,0.1,0.390752,0.609248
938,1984,73,-0.05,0.82876,0.17124
939,1985,51,0.05,0.746951,0.253049
940,1986,69,0.04,0.944106,0.055894
941,1999,73,0.02,0.944106,0.055894
942,2000,37,-0.04,0.885163,0.114837
943,2001,23,-0.09,0.601118,0.398882
944,2002,50,0.01,0.886687,0.113313
945,2003,24,-0.05,0.771341,0.228659
946,2004,21,0.05,0.642785,0.357215
947,2005,47,0.05,0.640752,0.359248
948,2006,28,-0.01,0.939533,0.060467
949,2007,21,0.05,0.665142,0.334858
950,2008,54,-0.02,0.938516,0.061484
951,2009,37,0.02,0.85061,0.14939
952,2010,55,-0.05,0.943598,0.056402
953,2023,66,-0.07,0.943089,0.056911
954,2024,27,-0.1,0.65752,0.34248
955,2025,50,-0.04,0.886179,0.113821
956,2026,51,0.08,0.513211,0.486789
957,2027,21,-0.04,0.827744,0.172256
958,2028,73,0.03,0.761687,0.238313
959,2029,60,-0.08,0.641768,0.358232
960,2030,31,-0.06,0.726118,0.273882
961,2031,71,-0.03,0.933435,0.066565
962,2032,73,-0.08,0.683435,0.316565
963,2033,67,-0.01,0.927846,0.072154
964,2034,68,0,0.943089,0.056911
965,2047,36,0,0.941057,0.058943
966,2048,50,0.07,0.678862,0.321138
967,2049,85,-0.02,0.921748,0.078252
968,2050,20,-0.05,0.781504,0.218496
969,2051,37,0,0.940549,0.059451
970,2052,66,-0.08,0.64126,0.35874
971,2053,49,-0.07,0.70122,0.29878
972,2054,40,-0.09,0.571138,0.428862
973,2055,43,0.06,0.610264,0.389736
974,2056,23,-0.05,0.810976,0.189024
975,2057,38,0.02,0.853659,0.146341
976,2058,20,0.03,0.942581,0.057419
977,2071,21,-0.03,0.939533,0.060467
978,2072,41,-0.07,0.803354,0.196646
979,2073,43,-0.08,0.683435,0.316565
980,2074,9,0.04,0.726626,0.273374
981,2075,58,-0.04,0.881606,0.118394
982,2076,44,-0.05,0.801321,0.198679
983,2077,15,-0.01,0.939024,0.060976
984,2078,51,0.12,0.243902,0.756098
985,2079,65,-0.05,0.826728,0.173272
986,2080,21,0.04,0.726626,0.273374
987,2081,74,-0.05,0.857215,0.142785
988,2082,19,0.07,0.00813,0.99187
989,2095,57,0.02,0.009146,0.990854
990,2096,42,-0.07,0.801321,0.198679
991,2097,50,-0.06,0.791159,0.208841
992,2098,27,-0.03,0.905488,0.094512
993,2099,37,0.03,0.770325,0.229675
994,2100,20,0.06,0.583333,0.416667
995,2101,1,-0.05,0.721037,0.278963
996,2102,36,-0.04,0.860772,0.139228
997,2103,67,0.01,0.86687,0.13313
998,2104,19,0.04,0.731199,0.268801
999,2105,56,0,0.91311,0.08689
1000,2106,4,0.05,0.017276,0.982724
1001,2119,32,0.04,0.019309,0.980691
1002,2120,2,-0.03,0.885671,0.114329
1003,2121,40,-0.09,0.64939,0.35061
1004,2122,56,-0.07,0.720528,0.279472
1005,2123,74,-0.01,0.92124,0.07876
1006,2124,23,0.01,0.880589,0.119411
1007,2125,35,0.04,0.700203,0.299797
1008,2126,49,0.02,0.823171,0.176829
1009,2127,11,-0.05,0.780488,0.219512
1010,2128,71,0.01,0.872967,0.127033
1011,2129,17,0.1,0.628049,0.371951
1012,2130,60,0.05,0.017276,0.982724
1013,2143,5,0.07,0.012195,0.987805
1014,2144,36,0.04,0.793191,0.206809
1015,2145,44,-0.04,0.898374,0.101626
1016,2146,48,-0.02,0.922256,0.077744
1017,2147,42,-0.06,0.750508,0.249492
1018,2148,46,0.07,0.523882,0.476118
1019,2149,18,0.01,0.878557,0.121443
1020,2150,0,-0.06,0.669207,0.330793
1021,2151,37,-0.01,0.921748,0.078252
1022,2152,55,0.05,0.683943,0.316057
1023,2153,13,0.07,0.719004,0.280996
1024,2154,47,0,0.021341,0.978659
1025,2167,45,-0.05,0.020325,0.979675
1026,2168,45,0.08,0.694106,0.305894
1027,2169,38,0.09,0.509146,0.490854
1028,2170,40,-0.05,0.82876,0.17124
1029,2171,65,0.07,0.525915,0.474085
1030,2172,61,0.02,0.801321,0.198679
1031,2173,90,-0.08,0.640752,0.359248
1032,2174,18,-0.08,0.600102,0.399898
1033,2175,52,0.04,0.706809,0.293191
1034,2176,9,-0.07,0.694614,0.305386
1035,2177,33,-0.06,0.86687,0.13313
1036,2178,50,0.03,0.008638,0.991362
1037,2191,58,-0.08,0.012195,0.987805
1038,2192,24,-0.04,0.898374,0.101626
1039,2193,39,0.06,0.646341,0.353659
1040,2194,67,-0.09,0.655488,0.344512
1041,2195,72,0,0.92124,0.07876
1042,2196,90,-0.07,0.700203,0.299797
1043,2197,8,-0.05,0.720528,0.279472
1044,2198,28,-0.09,0.5625,0.4375
1045,2199,12,-0.07,0.65498,0.34502
1046,2200,7,0.05,0.690041,0.309959
1047,2201,33,-0.03,0.886687,0.113313
1048,2202,70,-0.08,0.015244,0.984756
1049,2215,6,-0.07,0.01372,0.98628
1050,2216,53,0.03,0.816057,0.183943
1051,2217,5,0.12,0.388211,0.611789
1052,2218,4,0.07,0.557927,0.442073
1053,2219,74,0.04,0.695122,0.304878
1054,2220,6,-0.05,0.722053,0.277947
1055,2221,7,-0.06,0.661077,0.338923
1056,2222,20,-0.03,0.882114,0.117886
1057,2223,40,0,0.921748,0.078252
1058,2224,58,-0.02,0.905996,0.094004
1059,2225,47,-0.04,0.875508,0.124492
1060,2226,35,-0.04,0.019309,0.980691
1061,2239,70,-0.09,0.016768,0.983232
1062,2240,7,0.06,0.772358,0.227642
1063,2241,55,0.06,0.63872,0.36128
1064,2242,45,0.05,0.661585,0.338415
1065,2243,62,-0.06,0.802337,0.197663
1066,2244,69,-0.1,0.541667,0.458333
1067,2245,66,-0.1,0.541667,0.458333
1068,2246,58,-0.1,0.558943,0.441057
1069,2247,46,-0.1,0.589431,0.410569
1070,2248,59,0.05,0.680894,0.319106
1071,2249,32,0.07,0.814024,0.185976
1072,2250,26,0.05,0.014736,0.985264
1073,2263,66,0.01,0.011179,0.988821
1074,2264,31,0.07,0.773374,0.226626
1075,2265,33,-0.11,0.591463,0.408537
1076,2266,45,-0.06,0.8125,0.1875
1077,2267,3,0.06,0.582317,0.417683
1078,2268,26,0.07,0.504065,0.495935
1079,2269,42,-0.02,0.918699,0.081301
1080,2270,32,-0.08,0.637195,0.362805
1081,2271,88,-0.09,0.648374,0.351626
1082,2272,53,-0.05,0.887195,0.112805
1083,2273,73,-0.08,0.848069,0.151931
1084,2274,0,0.05,0.000508,0.999492
1085,2287,3,0.07,0.014736,0.985264
1086,2288,14,-0.09,0.847053,0.152947
1087,2289,54,-0.07,0.80437,0.19563
1088,2290,14,0.12,0.297764,0.702236
1089,2291,66,0,0.92124,0.07876
1090,2292,45,-0.11,0.482724,0.517276
1091,2293,66,0.04,0.680386,0.319614
1092,2294,55,-0.06,0.802337,0.197663
1093,2295,35,-0.07,0.745427,0.254573
1094,2296,7,-0.07,0.727642,0.272358
1095,2297,21,-0.03,0.835874,0.164126
1096,2298,50,-0.07,0.012703,0.987297
1097,2311,88,-0.07,0.014736,0.985264
1098,2312,30,0.03,0.815041,0.184959
1099,2313,81,-0.05,0.869411,0.130589
1100,2314,25,-0.11,0.522866,0.477134
1101,2315,75,-0.01,0.92124,0.07876
1102,2316,11,0.03,0.74187,0.25813
1103,2317,40,0,0.918699,0.081301
1104,2318,58,-0.08,0.706809,0.293191
1105,2319,17,0.05,0.642276,0.357724
1106,2320,55,0.06,0.636687,0.363313
1107,2321,46,0.01,0.825711,0.174289
1108,2322,48,0.07,0.018293,0.981707
1109,2335,40,0.05,0.018293,0.981707
1110,2336,69,-0.01,0.830285,0.169715
1111,2337,18,0.04,0.72002,0.27998
1112,2338,22,0.04,0.695122,0.304878
1113,2339,42,0.06,0.582317,0.417683
1114,2340,0,-0.02,0.880589,0.119411
1115,2341,34,-0.04,0.879065,0.120935
1116,2342,27,-0.06,0.768293,0.231707
1117,2343,50,0.07,0.547764,0.452236
1118,2344,24,0.01,0.842988,0.157012
1119,2345,89,-0.07,0.825203,0.174797
1120,2346,17,0.09,0.014228,0.985772
1121,2359,28,0.06,0.002033,0.997967
1122,2360,48,0,0.819106,0.180894
1123,2361,52,-0.01,0.890244,0.109756
1124,2362,35,0,0.903963,0.096037
1125,2363,66,0.01,0.845528,0.154472
1126,2364,13,-0.07,0.642785,0.357215
1127,2365,17,0.03,0.739837,0.260163
1128,2366,75,-0.03,0.898374,0.101626
1129,2367,55,-0.02,0.902947,0.097053
1130,2368,67,0.04,0.713923,0.286077
1131,2369,24,0.04,0.824187,0.175813
1132,2370,10,-0.07,0.009146,0.990854
1133,2383,20,-0.05,0.016768,0.983232
1134,2384,32,-0.04,0.810467,0.189533
1135,2385,24,0.02,0.802337,0.197663
1136,2386,43,0.05,0.64939,0.35061
1137,2387,11,-0.02,0.92124,0.07876
1138,2388,55,0.05,0.60315,0.39685
1139,2389,27,0.02,0.799289,0.200711
1140,2390,82,-0.11,0.533537,0.466463
1141,2391,77,-0.07,0.795732,0.204268
1142,2392,37,0.03,0.754065,0.245935
1143,2393,60,-0.02,0.824187,0.175813
1144,2394,6,-0.08,0.005081,0.994919
1145,2407,47,0.05,0.01372,0.98628
1146,2408,29,-0.1,0.808943,0.191057
1147,2409,50,0.12,0.408537,0.591463
1148,2410,32,-0.05,0.851118,0.148882
1149,2411,0,-0.04,0.773882,0.226118
1150,2412,0,0.03,0.74187,0.25813
1151,2413,45,-0.08,0.659553,0.340447
1152,2414,49,-0.02,0.900407,0.099593
1153,2415,53,-0.02,0.884654,0.115346
1154,2416,32,-0.05,0.854675,0.145325
1155,2417,0,0.02,0.824187,0.175813
1156,2418,4,0.08,0.018293,0.981707
1157,2431,63,-0.02,0.005589,0.994411
1158,2432,51,0.03,0.806402,0.193598
1159,2433,55,-0.09,0.779472,0.220528
1160,2434,67,0,0.885671,0.114329
1161,2435,76,0.03,0.735264,0.264736
1162,2436,20,-0.03,0.900407,0.099593
