Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,Optimizer
1932,5,7,65,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,376.46,0.797,220.59,0.0,-0.435
1932,5,8,49,0.12,0.983,0.0,0.724,0.0,0.783,0.783,149.46,0.92,221.143,0.0,-0.783
1932,5,9,90,0.05,0.975,0.0,0.724,0.0,0.913,0.913,502.727,0.728,219.722,0.0,-0.913
1932,6,0,76,0.06,0.975,0.0,0.724,0.0,0.522,0.522,425.994,0.77,220.209,0.0,-0.522
1932,6,1,87,0.04,0.975,0.0,0.724,0.0,0.652,0.652,544.755,0.705,219.803,0.0,-0.652
1932,6,2,51,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,392.731,0.789,221.071,0.0,-0.435
1932,6,3,59,-0.03,0.973,0.0,0.722,0.0,0.174,0.174,569.725,0.693,220.802,0.0,-0.174
1932,6,4,41,-0.08,0.973,0.0,0.722,0.0,0.522,0.522,368.635,0.802,221.424,0.0,-0.522
1932,6,5,42,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,157.392,0.915,221.397,0.0,-0.783
1932,6,6,73,-0.07,0.973,0.0,0.722,0.0,0.435,0.435,376.896,0.796,220.315,0.0,-0.435
1932,6,7,38,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,162.657,0.913,221.524,0.0,-0.783
1932,6,8,90,0.12,0.983,0.0,0.724,0.0,0.87,0.87,151.529,0.918,219.722,0.0,-0.87
1932,6,9,56,0.08,0.973,0.0,0.719,0.0,0.478,0.478,336.971,0.818,220.913,0.0,-0.478
1932,7,0,90,0.05,0.975,0.0,0.724,0.0,0.913,0.913,502.727,0.728,219.722,0.0,-0.913
1932,7,1,85,0.09,0.973,0.0,0.719,0.0,0.696,0.696,294.117,0.841,219.89,0.0,-0.696
1932,7,2,56,-0.01,0.973,0.0,0.722,0.0,0.13,0.13,668.56,0.64,220.881,0.0,-0.13
1932,7,3,25,-0.04,0.973,0.0,0.722,0.0,0.261,0.261,695.478,0.627,221.968,0.0,-0.261
1932,7,4,26,-0.08,0.973,0.0,0.722,0.0,0.522,0.522,443.019,0.762,221.964,0.0,-0.522
1932,7,5,47,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,151.416,0.919,221.216,0.0,-0.783
1932,7,6,81,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,241.519,0.869,220.009,0.0,-0.652
1932,7,7,39,0.0,0.973,0.0,0.722,0.0,0.0,0.0,797.553,0.571,221.482,0.0,-0.0
1932,7,8,90,0.12,0.983,0.0,0.724,0.0,0.87,0.87,151.529,0.918,219.722,0.0,-0.87
1932,7,9,90,-0.01,0.973,0.0,0.722,0.0,0.565,0.565,701.922,0.62,219.722,0.0,-0.565
1932,8,0,90,0.12,0.983,0.0,0.724,0.0,0.87,0.87,151.529,0.918,219.722,0.0,-0.87
1932,8,1,82,0.08,0.973,0.0,0.719,0.0,0.652,0.652,338.875,0.817,219.979,0.0,-0.652
