,vis,sd_angle,sd_location
212,0.82608696,30,-0.13
213,0.82608696,31,-0.13
214,0.82608696,32,-0.13
215,0.82608696,33,-0.13
216,0.82608696,34,-0.13
217,0.82608696,35,-0.13
218,0.82608696,36,-0.13
219,0.82608696,37,-0.13
220,0.82608696,38,-0.13
221,0.82608696,39,-0.13
222,0.82608696,40,-0.13
223,0.82608696,41,-0.13
224,0.82608696,42,-0.13
225,0.82608696,43,-0.13
226,0.82608696,44,-0.13
227,0.82608696,45,-0.13
228,0.82608696,46,-0.13
229,0.82608696,47,-0.13
230,0.82608696,48,-0.13
231,0.82608696,49,-0.13
232,0.82608696,50,-0.13
233,0.82608696,51,-0.13
234,0.82608696,52,-0.13
235,0.82608696,53,-0.13
236,0.82608696,54,-0.13
237,0.82608696,55,-0.13
238,0.82608696,56,-0.13
239,0.82608696,57,-0.13
240,0.82608696,58,-0.13
241,0.82608696,59,-0.13
242,0.82608696,60,-0.13
243,0.82608696,61,-0.13
244,0.82608696,62,-0.13
245,0.82608696,63,-0.13
246,0.82608696,64,-0.13
247,0.82608696,65,-0.13
248,0.82608696,66,-0.13
249,0.82608696,67,-0.13
250,0.82608696,68,-0.13
251,0.82608696,69,-0.13
252,0.82608696,70,-0.13
253,0.82608696,71,-0.13
254,0.82608696,72,-0.13
255,0.82608696,73,-0.13
256,0.82608696,74,-0.13
257,0.82608696,75,-0.13
258,0.82608696,76,-0.13
259,0.82608696,77,-0.13
260,0.82608696,78,-0.13
261,0.82608696,79,-0.13
262,0.82608696,80,-0.13
263,0.82608696,81,-0.13
264,0.82608696,82,-0.13
265,0.82608696,83,-0.13
266,0.82608696,84,-0.13
267,0.82608696,85,-0.13
268,0.82608696,86,-0.13
269,0.82608696,87,-0.13
270,0.82608696,88,-0.13
271,0.82608696,89,-0.13
272,0.82608696,90,-0.13
273,0.7826087,0,-0.12
274,0.7826087,1,-0.12
275,0.7826087,2,-0.12
276,0.7826087,3,-0.12
277,0.7826087,4,-0.12
278,0.7826087,5,-0.12
279,0.7826087,6,-0.12
280,0.7826087,7,-0.12
281,0.7826087,8,-0.12
282,0.7826087,9,-0.12
283,0.7826087,10,-0.12
284,0.7826087,11,-0.12
285,0.7826087,12,-0.12
286,0.7826087,13,-0.12
287,0.7826087,14,-0.12
288,0.7826087,15,-0.12
289,0.7826087,16,-0.12
290,0.7826087,17,-0.12
291,0.7826087,18,-0.12
292,0.7826087,19,-0.12
293,0.7826087,20,-0.12
294,0.7826087,21,-0.12
295,0.7826087,22,-0.12
296,0.7826087,23,-0.12
297,0.7826087,24,-0.12
298,0.7826087,25,-0.12
299,0.7826087,26,-0.12
300,0.7826087,27,-0.12
301,0.7826087,28,-0.12
302,0.7826087,29,-0.12
303,0.7826087,30,-0.12
304,0.7826087,31,-0.12
305,0.7826087,32,-0.12
306,0.7826087,33,-0.12
307,0.7826087,34,-0.12
308,0.7826087,35,-0.12
309,0.7826087,36,-0.12
310,0.7826087,37,-0.12
311,0.7826087,38,-0.12
312,0.7826087,39,-0.12
313,0.7826087,40,-0.12
314,0.7826087,41,-0.12
315,0.7826087,42,-0.12
316,0.7826087,43,-0.12
