,Hoy,SD_Angle,SD_Position,vis,Shaded_Ratio,Unshaded_Ratio
281,683,28,0.1,0.60869565,0.3857,0.6143
282,684,27,0.01,0,0.9202,0.0798
283,685,40,0.09,0.56521739,0.4309,0.5691
284,686,47,0.1,0.60869565,0.3852,0.6148
285,687,27,-0.04,0.26086957,0.7617,0.2383
286,688,69,-0.08,0.52173913,0.532,0.468
287,689,53,-0.03,0.2173913,0.7353,0.2647
288,704,66,0.03,0.30434783,0.6377,0.3623
289,705,74,-0.11,0.73913043,0.3592,0.6408
290,706,25,-0.05,0.30434783,0.7099,0.2901
291,707,78,0.13,0.86956522,0.2068,0.7932
292,708,57,0.13,0.86956522,0.2068,0.7932
293,709,84,0.05,0.7826087,0.6748,0.3252
294,710,35,-0.04,0.26086957,0.7617,0.2383
295,711,42,0.13,0.82608696,0.2068,0.7932
296,712,22,-0.05,0.30434783,0.7297,0.2703
297,713,67,0.04,0.30434783,0.6392,0.3608
298,728,67,-0.04,0.34782609,0.6362,0.3638
299,729,3,0.02,0.08695652,0.8867,0.1133
300,730,19,0.13,0.82608696,0.2271,0.7729
301,731,55,0.11,0.73913043,0.3262,0.6738
302,732,60,0.1,0.65217391,0.3852,0.6148
303,733,70,0.07,0.52173913,0.5528,0.4472
304,734,38,0.13,0.82608696,0.2068,0.7932
305,735,28,-0.05,0.30434783,0.7022,0.2978
306,736,59,0,0.26086957,0.6743,0.3257
307,737,6,-0.06,0.39130435,0.6707,0.3293
308,752,25,0.02,0.08695652,0.8902,0.1098
309,753,72,-0.04,0.34782609,0.7403,0.2597
310,754,70,-0.06,0.43478261,0.6306,0.3694
311,755,90,0.09,0.86956522,0.4416,0.5584
312,756,45,-0.14,0.91304348,0.1672,0.8328
313,757,78,0.1,0.73913043,0.3699,0.6301
314,758,11,0.13,0.82608696,0.2068,0.7932
315,759,80,-0.13,0.86956522,0.2058,0.7942
316,760,65,0.02,0.30434783,0.7866,0.2134
317,761,35,0.03,0.13043478,0.8354,0.1646
318,776,18,-0.09,0.56521739,0.5061,0.4939
319,777,11,-0.06,0.39130435,0.6611,0.3389
320,778,63,-0.03,0.26086957,0.8201,0.1799
321,779,33,0.09,0.56521739,0.4451,0.5549
322,780,90,-0.04,0.52173913,0.6824,0.3176
323,781,30,0.1,0.60869565,0.3699,0.6301
324,782,81,0.13,0.86956522,0.2068,0.7932
325,783,51,0.01,0.13043478,0.9096,0.0904
326,784,21,-0.05,0.30434783,0.7099,0.2901
327,785,27,-0.04,0.26086957,0.7805,0.2195
328,800,60,0.03,0.26086957,0.7434,0.2566
329,801,49,0.12,0.73913043,0.3034,0.6966
330,802,3,-0.03,0.17391304,0.8257,0.1743
331,803,63,0.14,0.91304348,0.1474,0.8526
332,804,0,0.01,0,0.9202,0.0798
333,805,90,0.04,0.65217391,0.6748,0.3252
334,806,56,0.14,0.91304348,0.1474,0.8526
335,807,50,-0.02,0.17391304,0.8704,0.1296
336,808,78,-0.02,0.34782609,0.6702,0.3298
337,809,30,0.04,0.2173913,0.7805,0.2195
338,824,82,-0.06,0.52173913,0.5254,0.4746
339,825,2,0.03,0.13043478,0.8115,0.1885
340,826,20,-0.05,0.30434783,0.7099,0.2901
341,827,4,0.12,0.73913043,0.2668,0.7332
342,828,73,0.02,0.30434783,0.8608,0.1392
343,829,9,0.07,0.39130435,0.5528,0.4472
344,830,27,0.02,0.08695652,0.8608,0.1392
345,831,1,-0.04,0.26086957,0.7617,0.2383
346,832,51,-0.04,0.26086957,0.7586,0.2414
347,833,53,0.01,0.17391304,0.874,0.126
348,848,12,-0.07,0.43478261,0.6159,0.3841
349,849,80,-0.1,0.69565217,0.4075,0.5925
350,850,2,0.03,0.13043478,0.8064,0.1936
351,851,89,0.06,0.7826087,0.6169,0.3831
352,852,13,0.12,0.73913043,0.2663,0.7337
353,853,33,-0.01,0.08695652,0.939,0.061
354,854,34,-0.06,0.39130435,0.6428,0.3572
355,855,73,0.12,0.7826087,0.2658,0.7342
356,856,52,0.01,0.17391304,0.905,0.095
357,857,21,0.07,0.39130435,0.6159,0.3841
358,872,0,-0.05,0.30434783,0.7256,0.2744
359,873,90,-0.05,0.43478261,0.3897,0.6103
360,874,58,-0.07,0.47826087,0.5935,0.4065
361,875,53,0.1,0.65217391,0.3857,0.6143
362,876,31,0.01,0.04347826,0.9202,0.0798
363,877,49,0.13,0.82608696,0.187,0.813
364,878,13,0.12,0.73913043,0.2663,0.7337
365,879,47,-0.02,0.17391304,0.8704,0.1296
366,880,36,-0.01,0.08695652,0.9329,0.0671
