Hoy,Azimuth,Altitude,Hor_Angle,Ver_Angle,I_direct,I_diffuse,sky_cover,max_irradiance,max_pv_generation
2269,207.618619,71.693979,81.280505,73.662183,271.0,405.0,0.9,15716.70819643173,75440.19934287229
2270,237.604083,62.095163,65.907712,74.159685,203.0,320.0,0.9,6731.213946430135,32309.82694286465
2271,252.122206,49.524602,50.918782,75.320437,472.0,360.0,0.9,17397.776611158984,83509.32773356313
2272,260.923991,36.062759,36.406922,77.777609,420.0,252.0,0.7,8063.550811425016,38705.04389484008
2273,267.504405,22.30519,22.324286,83.941217,397.0,186.0,0.6,7747.942243653051,37190.122769534646
2274,273.274759,8.525415,8.539151,0.0,234.0,94.0,0.4,4715.955387681459,22636.585860871
2287,87.252362,10.350851,10.362487,0.0,1.0,24.0,0.9,30.21184276177864,145.01684525653747
2288,93.029787,24.15624,24.186154,83.278734,28.0,161.0,0.9,736.7977341493266,3536.6291239167676
2289,99.720057,37.914615,38.31692,77.76959,88.0,245.0,0.9,2965.9010354947845,14236.324970374966
2290,108.873726,51.344195,52.878681,75.492888,70.0,353.0,0.9,1137.6252459717628,5460.601180664461
2291,124.470173,63.781309,67.902863,74.425523,159.0,279.0,0.9,5393.592671007589,25889.244820836426
2292,157.653399,72.775892,83.277564,74.000776,94.0,346.0,0.9,5176.000024760032,24844.800118848154
2293,208.352299,72.003661,81.230204,74.045749,204.0,441.0,0.9,7799.130414574527,37435.82598995773
2294,238.335924,62.272524,65.897256,74.574777,125.0,321.0,0.9,6554.529579687264,31461.74198249887
2295,252.689403,49.637569,50.942755,75.807511,101.0,235.0,0.9,2670.523094944058,12818.510855731478
2296,261.388311,36.147675,36.457628,78.4158,343.0,288.0,0.9,5616.346385083293,26958.462648399807
2297,267.912234,22.3799,22.393294,84.943996,196.0,178.0,0.9,3492.4549838370285,16763.783922417737
2298,273.655956,8.600373,8.617662,0.0,78.0,88.0,0.9,1372.2777937896933,6586.933410190528
2311,86.922846,10.554235,10.569117,0.0,4.0,26.0,0.4,112.55214946093628,540.2503174124942
2312,92.674372,24.360759,24.384253,84.116598,17.0,129.0,0.7,399.32174924157766,1916.7443963595726
2313,99.316847,38.128915,38.499017,78.345764,46.0,294.0,0.9,1233.1267951019458,5919.00861648934
2314,108.393983,51.583878,53.037421,75.950526,41.0,405.0,0.9,733.9558216317394,3522.9879438323487
2315,123.912544,64.075698,68.03045,74.825986,54.0,333.0,0.9,1138.8496325384347,5466.478236184486
2316,157.419356,73.152674,83.367566,74.378706,185.0,529.0,0.9,9980.204890361338,47904.98347373442
2317,209.105108,72.309272,81.180998,74.427547,248.0,362.0,0.9,4367.1214130529415,20962.18278265412
2318,239.07188,62.445642,65.887444,74.988077,81.0,660.0,0.9,3836.2221587464887,18413.866361983146
2319,253.255958,49.74777,50.967136,76.292546,94.0,332.0,0.9,1568.2193716001307,7527.452983680627
2320,261.851028,36.230965,36.508625,79.051191,48.0,308.0,0.9,853.9382010087232,4098.903364841872
2321,268.31823,22.453809,22.46249,85.938008,30.0,214.0,0.9,533.4145336041717,2560.389761300024
2322,274.035176,8.675185,8.69643,0.0,30.0,103.0,0.9,480.28993088100333,2305.391668228816
2335,86.594332,10.75569,10.774294,0.0,0.0,20.0,0.9,2.4,11.52
2336,92.319369,24.562798,24.580541,84.939979,2.0,100.0,1.0,60.63769595066987,291.06094056321535
2337,98.913024,38.340129,38.679289,78.916162,9.0,161.0,1.0,230.79790867559723,1107.8299616428667
2338,107.911178,51.819777,53.194228,76.404638,131.0,252.0,1.0,4458.178126555503,21399.255007466414
2339,123.345036,64.365887,68.156309,75.223906,79.0,414.0,0.9,1251.1034283172542,6005.296455922819
2340,157.174002,73.526992,83.456056,74.754649,58.0,403.0,0.9,3699.4092254640227,17757.16428222731
2341,209.877299,72.610678,81.132924,74.80752,30.0,332.0,0.9,667.0915445628544,3202.039413901701
2342,239.811553,62.614516,65.878506,75.399575,2.0,253.0,1.0,112.89401669631224,541.8912801422987
2343,253.821621,49.855255,50.992056,76.775465,55.0,466.0,1.0,850.8571399415699,4084.1142717195353
2344,262.311975,36.312682,36.559907,79.683192,146.0,311.0,1.0,2118.2420173901655,10167.561683472793
2345,268.722261,22.526965,22.53199,86.922655,76.0,187.0,0.9,1391.758269132405,6680.439691835544
2346,274.412302,8.749887,8.775464,0.0,27.0,101.0,0.9,503.21700459616216,2415.441622061578
2359,86.266881,10.955108,10.97785,0.0,0.0,27.0,1.0,3.24,15.552
2360,91.964856,24.762254,24.775069,85.748943,18.0,184.0,0.9,376.3441675216439,1806.4520041038907
2361,98.50869,38.548153,38.857566,79.480544,21.0,270.0,0.9,435.76111463100017,2091.6533502288007
2362,107.425428,52.051769,53.349155,76.855226,46.0,431.0,0.9,1966.2005017165627,9437.762408239501
2363,122.767589,64.651706,68.280335,75.619295,42.0,346.0,0.9,884.6910520239308,4246.517049714867
2364,156.916532,73.898709,83.542994,75.128459,36.0,396.0,0.9,2316.0745023058184,11117.157611067929
2365,210.669105,72.907746,81.086044,75.185487,96.0,379.0,0.9,1677.162045341359,8050.377817638523
2366,240.554537,62.779156,65.870304,75.809013,67.0,420.0,0.9,1243.1389450645852,5967.066936310009
2367,254.386144,49.960075,51.01747,77.256029,81.0,423.0,0.9,1093.5159807097962,5248.876707407021
2368,262.770987,36.39288,36.611528,80.311623,23.0,274.0,0.9,677.9904626470867,3254.354220706016
2369,269.124197,22.599416,22.601802,87.897041,10.0,185.0,1.0,278.3442517544571,1336.0524084213941
2370,274.787217,8.824514,8.854935,0.0,1.0,84.0,1.0,30.43235841647721,146.0753203990906
2383,85.940557,11.15238,11.179723,0.0,1.0,27.0,1.0,30.580580628283915,146.7867870157628
2384,91.610916,24.959025,24.967702,86.543532,21.0,107.0,0.9,518.264479102856,2487.6694996937085
2385,98.103953,38.752884,39.033917,80.038902,66.0,175.0,0.9,1424.9579913220196,6839.7983583456935
2386,106.936862,52.279736,53.502031,77.302146,42.0,305.0,0.9,2191.0548833237804,10517.063439954145
2387,122.180162,64.932989,68.402446,76.011943,20.0,297.0,0.9,465.83838550179485,2236.024250408615
2388,156.646088,74.267685,83.628339,75.499973,257.0,472.0,0.9,14097.739433699786,67669.14928175898
2389,211.480741,73.200345,81.040393,75.561391,567.0,370.0,0.7,10357.832936856796,49717.59809691262
2390,241.300415,62.939573,65.863017,76.216349,664.0,287.0,0.5,12624.106627996976,60595.71181438548
2391,254.949282,50.062286,51.043499,77.734103,574.0,312.0,0.3,10760.089243454255,51648.42836858042
2392,263.227902,36.471617,36.663539,80.936213,486.0,278.0,0.4,17536.255978217327,84174.02869544316
