,vis,sd_angle,sd_position
272,82.608696,90.0,-0.12
273,73.913043,0.0,-0.11
274,73.913043,1.0,-0.11
275,73.913043,2.0,-0.11
276,69.565217,3.0,-0.11
277,69.565217,4.0,-0.11
278,69.565217,5.0,-0.11
279,69.565217,6.0,-0.11
280,69.565217,7.0,-0.11
281,69.565217,8.0,-0.11
282,69.565217,9.0,-0.11
283,69.565217,10.0,-0.11
284,69.565217,11.0,-0.11
285,69.565217,12.0,-0.11
286,69.565217,13.0,-0.11
287,69.565217,14.0,-0.11
288,69.565217,15.0,-0.11
289,69.565217,16.0,-0.11
290,69.565217,17.0,-0.11
291,69.565217,18.0,-0.11
292,69.565217,19.0,-0.11
293,69.565217,20.0,-0.11
294,69.565217,21.0,-0.11
295,69.565217,22.0,-0.11
296,69.565217,23.0,-0.11
297,69.565217,24.0,-0.11
298,69.565217,25.0,-0.11
299,69.565217,26.0,-0.11
300,69.565217,27.0,-0.11
301,69.565217,28.0,-0.11
302,69.565217,29.0,-0.11
303,69.565217,30.0,-0.11
304,69.565217,31.0,-0.11
305,69.565217,32.0,-0.11
306,69.565217,33.0,-0.11
307,69.565217,34.0,-0.11
308,69.565217,35.0,-0.11
309,69.565217,36.0,-0.11
310,69.565217,37.0,-0.11
311,69.565217,38.0,-0.11
312,69.565217,39.0,-0.11
313,69.565217,40.0,-0.11
314,69.565217,41.0,-0.11
315,69.565217,42.0,-0.11
316,69.565217,43.0,-0.11
317,69.565217,44.0,-0.11
318,69.565217,45.0,-0.11
319,69.565217,46.0,-0.11
320,69.565217,47.0,-0.11
321,69.565217,48.0,-0.11
322,69.565217,49.0,-0.11
323,69.565217,50.0,-0.11
324,69.565217,51.0,-0.11
325,69.565217,52.0,-0.11
326,69.565217,53.0,-0.11
327,69.565217,54.0,-0.11
328,69.565217,55.0,-0.11
329,73.913043,56.0,-0.11
330,73.913043,57.0,-0.11
331,73.913043,58.0,-0.11
332,73.913043,59.0,-0.11
333,73.913043,60.0,-0.11
334,73.913043,61.0,-0.11
335,73.913043,62.0,-0.11
336,73.913043,63.0,-0.11
337,73.913043,64.0,-0.11
338,73.913043,65.0,-0.11
339,73.913043,66.0,-0.11
340,73.913043,67.0,-0.11
341,73.913043,68.0,-0.11
342,73.913043,69.0,-0.11
343,73.913043,70.0,-0.11
344,73.913043,71.0,-0.11
345,73.913043,72.0,-0.11
346,73.913043,73.0,-0.11
347,73.913043,74.0,-0.11
348,73.913043,75.0,-0.11
349,73.913043,76.0,-0.11
350,73.913043,77.0,-0.11
351,73.913043,78.0,-0.11
352,73.913043,79.0,-0.11
353,73.913043,80.0,-0.11
354,73.913043,81.0,-0.11
355,73.913043,82.0,-0.11
356,73.913043,83.0,-0.11
357,73.913043,84.0,-0.11
358,73.913043,85.0,-0.11
359,73.913043,86.0,-0.11
360,73.913043,87.0,-0.11
361,73.913043,88.0,-0.11
362,73.913043,89.0,-0.11
363,73.913043,90.0,-0.11
364,65.217391,0.0,-0.1
365,65.217391,1.0,-0.1
366,65.217391,2.0,-0.1
367,65.217391,3.0,-0.1
368,65.217391,4.0,-0.1
369,65.217391,5.0,-0.1
370,65.217391,6.0,-0.1
371,65.217391,7.0,-0.1
372,65.217391,8.0,-0.1
373,65.217391,9.0,-0.1
374,65.217391,10.0,-0.1
375,65.217391,11.0,-0.1
376,65.217391,12.0,-0.1
377,65.217391,13.0,-0.1
378,65.217391,14.0,-0.1
379,65.217391,15.0,-0.1
380,65.217391,16.0,-0.1
381,65.217391,17.0,-0.1
382,65.217391,18.0,-0.1
383,65.217391,19.0,-0.1
384,65.217391,20.0,-0.1
385,65.217391,21.0,-0.1
386,65.217391,22.0,-0.1
387,65.217391,23.0,-0.1
