,Hoy,SD_Angle,SD_Position
105,253.0,23.0,-0.14
106,254.0,21.0,0.09
107,255.0,16.0,0.14
108,256.0,54.0,-0.11
109,257.0,0.0,0.01
110,272.0,79.0,-0.02
111,273.0,0.0,-0.07
112,274.0,0.0,0.1
113,275.0,0.0,-0.13
114,276.0,7.0,0.14
115,277.0,4.0,0.04
116,278.0,42.0,0.08
117,279.0,3.0,-0.14
118,280.0,21.0,-0.07
119,281.0,0.0,0.13
120,296.0,48.0,0.11
121,297.0,74.0,-0.07
122,298.0,45.0,0.12
123,299.0,21.0,0.1
124,300.0,61.0,-0.14
125,301.0,20.0,0.11
126,302.0,64.0,-0.04
127,303.0,45.0,0.02
128,304.0,90.0,-0.08
129,305.0,4.0,-0.04
130,320.0,47.0,0.13
131,321.0,38.0,0.1
132,322.0,20.0,-0.12
133,323.0,81.0,-0.06
134,324.0,9.0,0.09
135,325.0,54.0,0.08
136,326.0,77.0,-0.08
137,327.0,81.0,0.06
138,328.0,19.0,0.09
139,329.0,0.0,0.14
140,344.0,27.0,0.12
141,345.0,59.0,-0.14
142,346.0,73.0,0.09
143,347.0,22.0,0.11
144,348.0,80.0,-0.12
145,349.0,68.0,0.08
146,350.0,60.0,0.01
147,351.0,38.0,-0.13
148,352.0,59.0,-0.07
149,353.0,1.0,0.06
150,368.0,39.0,0.13
151,369.0,34.0,-0.08
152,370.0,0.0,-0.14
153,371.0,81.0,0.13
154,372.0,46.0,-0.08
155,373.0,7.0,-0.09
156,374.0,88.0,0.04
157,375.0,30.0,0.12
158,376.0,34.0,0.08
159,377.0,82.0,-0.04
160,392.0,43.0,-0.11
161,393.0,66.0,0.1
162,394.0,36.0,-0.08
163,395.0,78.0,0.07
164,396.0,73.0,0.04
165,397.0,88.0,-0.11
166,398.0,48.0,0.08
167,399.0,0.0,-0.14
168,400.0,87.0,-0.05
169,401.0,13.0,-0.1
170,402.0,0.0,0.03
171,416.0,29.0,0.09
172,417.0,47.0,0.12
173,418.0,56.0,-0.12
174,419.0,44.0,0.08
175,420.0,4.0,0.1
176,421.0,43.0,-0.09
177,422.0,20.0,-0.08
178,423.0,20.0,-0.07
179,424.0,80.0,-0.1
180,425.0,0.0,0.14
181,426.0,0.0,-0.13
182,440.0,68.0,0.1
183,441.0,4.0,-0.13
184,442.0,0.0,-0.1
185,443.0,56.0,0.12
186,444.0,25.0,-0.12
187,445.0,85.0,0.12
188,446.0,38.0,0.14
189,447.0,36.0,0.13
190,448.0,68.0,0.14
191,449.0,19.0,0.12
192,450.0,0.0,-0.14
193,464.0,37.0,0.07
194,465.0,0.0,-0.06
195,466.0,54.0,0.11
196,467.0,52.0,-0.14
197,468.0,59.0,0.08
198,469.0,16.0,-0.14
199,470.0,90.0,0.09
200,471.0,30.0,-0.1
201,472.0,10.0,0.13
202,473.0,0.0,0.05
203,474.0,4.0,-0.14
204,488.0,28.0,-0.11
205,489.0,67.0,0.12
206,490.0,72.0,0.13
207,491.0,54.0,0.07
208,492.0,62.0,0.04
209,493.0,20.0,-0.14
210,494.0,65.0,0.11
211,495.0,0.0,-0.13
212,496.0,7.0,-0.14
213,497.0,0.0,0.0
214,498.0,6.0,0.03
215,512.0,35.0,-0.13
216,513.0,65.0,0.12
217,514.0,25.0,0.08
218,515.0,75.0,0.1
219,516.0,30.0,0.12
